,Region,Zone,District,Enumeration area,Holders ID,Parcel,Field,Field Part,CROP,Owner Type,Extension,Irrigation Used,Seed Type,Any Damage,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,Reason for Not Using Fertilizer,Percent of Field in Use,Area Measure - Day,Area Measure - Month,Local Area Unit,Reason for Not Measuring Area,Production local unit,case$id,Farmers associations,Householde ID,Field Weight,Weight of Non-improved Seed,Local Area Amount,Enumerator Area (sq. m.),Computer Area (sq. m.),Area in Square meter,Production Of Condition in Kg
81,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,100.0,13.0,2.0,1.0,50.0,10.0,1.010200901097101e+17,9.0,97.0,172.25,27.0,10.0,13057.7,13057.7,13057.74,0.0
189,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,1.0,2.0,3.0,50.0,10.0,1.010300201023103e+17,2.0,23.0,176.14,15.4,5.0,8194.9,8194.9,8194.94,0.0
201,1.0,1.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,4.0,2.0,3.0,50.0,60.0,1.0103002011031011e+17,2.0,103.0,176.14,3.12,1.3,3073.7,3073.7,3073.7,0.0
223,1.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,100.0,11.0,2.0,3.0,50.0,10.0,1.010300201183102e+17,2.0,183.0,176.14,4.68,1.3,2015.7,2015.7,2015.74,0.0
263,1.0,1.0,3.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,24.0,1.0,1.0,50.0,60.0,1.0103011020221011e+17,11.0,22.0,155.09,2.0,1.2,1186.0,1186.0,1186.0,0.0
266,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,24.0,1.0,1.0,50.0,60.0,1.010301102022104e+17,11.0,22.0,155.09,3.2,1.2,1681.9,1681.9,1681.9,0.0
376,1.0,1.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,100.0,18.0,1.0,3.0,50.0,60.0,1.0103028020041011e+17,28.0,4.0,186.06,0.75,1.2,2651.5,2651.5,2651.5,0.0
414,1.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,16.0,1.0,7.0,50.0,60.0,1.0104004020371011e+17,4.0,37.0,144.09,1.755,280.0,2892.5,2892.5,2892.53,0.0
421,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,18.0,1.0,7.0,50.0,60.0,1.010400402045102e+17,4.0,45.0,144.09,1.6,200.0,1415.1,1415.1,1415.13,0.0
426,1.0,1.0,4.0,2.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,19.0,1.0,7.0,50.0,60.0,1.0104004020611011e+17,4.0,61.0,144.09,2.34,100.0,1822.1,1822.1,1822.13,0.0
431,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,100.0,1.0,2.0,3.0,50.0,40.0,1.010400402077101e+17,4.0,77.0,144.09,9.36,9999.9,3684.1,3684.1,3684.1,0.0
436,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,23.0,1.0,7.0,50.0,60.0,1.010400402085101e+17,4.0,85.0,144.09,4.68,250.0,2438.3,2438.3,2438.33,0.0
442,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,22.0,1.0,7.0,50.0,60.0,1.010400402117101e+17,4.0,117.0,144.09,2.34,150.0,2251.8,2251.8,2251.83,0.0
445,1.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,24.0,1.0,3.0,50.0,40.0,1.0104004021251011e+17,4.0,125.0,144.09,11.7,5.0,13272.5,12981.7,13272.5,0.0
460,1.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,27.0,1.0,7.0,50.0,60.0,1.0104004021651011e+17,4.0,165.0,144.09,1.17,100.0,1351.9,1351.9,1351.93,0.0
