,Region,Zone,District,Enumeration area,Holders ID,Parcel,Field,Field Part,CROP,Owner Type,Extension,Irrigation Used,Seed Type,Any Damage,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,Reason for Not Using Fertilizer,Percent of Field in Use,Area Measure - Day,Area Measure - Month,Local Area Unit,Reason for Not Measuring Area,Production local unit,case$id,Farmers associations,Householde ID,Field Weight,Weight of Non-improved Seed,Local Area Amount,Enumerator Area (sq. m.),Computer Area (sq. m.),Area in Square meter,Production Of Condition in Kg
94,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,28.0,1.0,1.0,50.0,20.0,1.010201802020101e+17,18.0,20.0,174.5,7.02,10.0,14141.5,14141.5,14141.5,0.0
112,1.0,1.0,2.0,2.0,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,100.0,30.0,1.0,1.0,50.0,20.0,1.010201802024102e+17,18.0,24.0,174.5,4.68,2.5,4083.5,4083.5,4083.5,0.0
113,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,100.0,2.0,2.0,1.0,50.0,20.0,1.010201802032101e+17,18.0,32.0,174.5,15.6,30.0,30673.3,30673.3,30673.3,0.0
126,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,5.0,2.0,1.0,50.0,20.0,1.010201802053102e+17,18.0,53.0,174.5,2.34,2.5,3168.8,3168.8,3168.8,0.0
127,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,5.0,2.0,1.0,50.0,20.0,1.010201802053103e+17,18.0,53.0,174.5,3.12,2.5,5200.9,5200.9,5200.9,0.0
139,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,8.0,2.0,1.0,50.0,20.0,1.010201802086102e+17,18.0,86.0,174.5,14.04,15.0,21111.4,21111.4,21111.4,0.0
160,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,100.0,28.0,1.0,1.0,50.0,20.0,1.010201802102103e+17,18.0,102.0,174.5,9.36,10.0,12468.7,12468.7,12468.7,0.0
161,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,100.0,28.0,1.0,1.0,50.0,20.0,1.010201802102103e+17,18.0,102.0,174.5,2.34,2.5,1753.3,1753.3,1753.3,0.0
162,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,100.0,28.0,1.0,1.0,50.0,20.0,1.010201802102103e+17,18.0,102.0,174.5,4.68,5.0,6851.3,6748.6,6851.3,0.0
164,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,100.0,28.0,1.0,1.0,50.0,40.0,1.010202901005102e+17,29.0,5.0,128.06,3.0,5.0,5385.8,5385.8,5385.8,0.0
