,Region,Zone,District,Enumeration area,Holders ID,Parcel,Field,Field Part,CROP,Owner Type,Extension,Irrigation Used,Seed Type,Any Damage,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,Reason for Not Using Fertilizer,Percent of Field in Use,Area Measure - Day,Area Measure - Month,Local Area Unit,Reason for Not Measuring Area,Production local unit,case$id,Farmers associations,Householde ID,Field Weight,Weight of Non-improved Seed,Local Area Amount,Enumerator Area (sq. m.),Computer Area (sq. m.),Area in Square meter,Production Of Condition in Kg
1674,1.0,2.0,2.0,5.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,60.0,99.0,99.0,1.0,1.0,80.0,1.020200205006103e+17,2.0,6.0,231.0,25.0,10.0,14544.288280554496,0.0,4914.3,0.0
1687,1.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,60.0,99.0,99.0,1.0,4.0,80.0,1.020200205069104e+17,2.0,69.0,231.0,30.0,10.0,14544.288280554496,0.0,4914.3,0.0
1692,1.0,2.0,2.0,5.0,1.0,1.0,9.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,60.0,4.0,3.0,4.0,50.0,40.0,1.0202002050781011e+17,2.0,78.0,231.0,2.92,10.0,916.9,916.9,916.93,0.0
1695,1.0,2.0,2.0,5.0,1.0,1.0,7.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,100.0,27.0,1.0,4.0,50.0,40.0,1.0202002050921011e+17,2.0,92.0,231.0,8.76,20.0,2530.5,2530.5,2530.53,0.0
1696,1.0,2.0,2.0,5.0,1.0,1.0,8.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,75.0,27.0,1.0,1.0,50.0,80.0,1.0202002050921011e+17,2.0,92.0,231.0,24.0,10.0,17551.8,17551.8,17551.8,0.0
1700,1.0,2.0,2.0,5.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,60.0,7.0,2.0,1.0,50.0,80.0,1.0202002051061011e+17,2.0,106.0,231.0,12.0,5.0,4081.9,4081.9,4081.9,0.0
1705,1.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,60.0,7.0,2.0,1.0,50.0,80.0,1.020200205106104e+17,2.0,106.0,231.0,12.0,5.0,3022.7,3022.7,3022.7,0.0
1708,1.0,2.0,2.0,5.0,1.0,1.0,7.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,60.0,7.0,2.0,1.0,50.0,80.0,1.0202002051131011e+17,2.0,113.0,231.0,12.0,10.0,8515.4,8515.4,8515.4,0.0
1720,1.0,2.0,2.0,5.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,75.0,30.0,1.0,1.0,50.0,80.0,1.0202002051491011e+17,2.0,149.0,231.0,20.0,5.0,8015.8,8015.8,8015.8,0.0
1722,1.0,2.0,2.0,5.0,1.0,1.0,6.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,75.0,30.0,1.0,1.0,50.0,80.0,1.0202002051491011e+17,2.0,149.0,231.0,7.0,2.5,2194.2,2194.2,2194.2,0.0
1725,1.0,2.0,2.0,5.0,1.0,1.0,6.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,70.0,22.0,1.0,4.0,50.0,40.0,1.0202002051631011e+17,2.0,163.0,231.0,2.2,10.0,1079.9,1079.9,1079.93,0.0
1726,1.0,2.0,2.0,5.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,70.0,22.0,2.0,4.0,50.0,80.0,1.020200205163102e+17,2.0,163.0,231.0,2.5,20.0,2560.5,2560.5,2560.5,0.0
1728,1.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,8.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,70.0,22.0,2.0,4.0,50.0,80.0,1.020200205163102e+17,2.0,163.0,231.0,1.0,10.0,2225.8,2225.8,2225.8,0.0
1730,1.0,2.0,2.0,5.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,70.0,22.0,2.0,4.0,50.0,40.0,1.020200205163103e+17,2.0,163.0,231.0,3.2,20.0,4114.3,4114.3,4114.33,0.0
1733,1.0,2.0,2.0,5.0,1.0,4.0,4.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,70.0,29.0,1.0,1.0,50.0,80.0,1.020200205163104e+17,2.0,163.0,231.0,12.2,15.0,14544.288280554496,0.0,21187.8,0.0
1735,1.0,2.0,2.0,5.0,1.0,4.0,5.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,70.0,22.0,2.0,1.0,50.0,40.0,1.020200205163104e+17,2.0,163.0,231.0,9.0,2.5,2010.8,2010.8,2010.83,0.0
1737,1.0,2.0,2.0,5.0,1.0,4.0,6.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,70.0,22.0,2.0,4.0,50.0,80.0,1.020200205163104e+17,2.0,163.0,231.0,3.5,20.0,1135.1,1135.1,1135.1,0.0
1747,1.0,2.0,2.0,5.0,1.0,4.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,75.0,99.0,99.0,1.0,1.0,80.0,1.020200205178104e+17,2.0,178.0,231.0,40.0,10.0,14544.288280554496,0.0,4914.3,0.0
1752,1.0,2.0,2.0,3.0,1.0,1.0,7.0,2.0,8.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,50.0,14.0,1.0,4.0,50.0,80.0,1.0202011030021011e+17,11.0,2.0,178.99,2.73,20.0,1114.3,1114.3,1114.3,0.0
1765,1.0,2.0,2.0,3.0,1.0,1.0,14.0,2.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,50.0,19.0,1.0,1.0,50.0,80.0,1.0202011030141011e+17,11.0,14.0,178.99,6.63,1.2,5076.3,5076.3,5076.3,0.0
1792,1.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,33.0,18.0,1.0,1.0,50.0,80.0,1.020201103056101e+17,11.0,56.0,178.99,3.9,1.2,1689.7,1689.7,1689.7,0.0
1822,1.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,100.0,2.0,2.0,4.0,50.0,80.0,1.020201103075104e+17,11.0,75.0,178.99,3.9,20.0,3816.8,3816.8,3816.8,0.0
1839,1.0,2.0,2.0,3.0,1.0,1.0,5.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,67.0,26.0,1.0,1.0,50.0,80.0,1.0202011030931011e+17,11.0,93.0,178.99,6.24,1.3,4627.5,4627.5,4627.5,0.0
1841,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,67.0,26.0,1.0,1.0,50.0,20.0,1.020201103093102e+17,11.0,93.0,178.99,8.58,1.3,2162.8,2162.8,2162.8,0.0
1843,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,67.0,26.0,1.0,4.0,50.0,20.0,1.020201103093102e+17,11.0,93.0,178.99,4.68,10.0,1968.3,1968.3,1968.3,0.0
1845,1.0,2.0,2.0,3.0,1.0,2.0,5.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,67.0,26.0,1.0,4.0,50.0,20.0,1.020201103093102e+17,11.0,93.0,178.99,3.12,10.0,3386.7,3386.7,3386.7,0.0
1849,1.0,2.0,2.0,3.0,1.0,4.0,5.0,2.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,67.0,26.0,1.0,4.0,50.0,20.0,1.020201103093104e+17,11.0,93.0,178.99,1.17,10.0,1156.2,1156.2,1156.2,0.0
1863,1.0,2.0,2.0,3.0,1.0,6.0,1.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,67.0,30.0,2.0,1.0,50.0,80.0,1.0202011031051061e+17,11.0,105.0,178.99,15.6,6.7,10891.5,10891.5,10891.5,0.0
1865,1.0,2.0,2.0,3.0,1.0,6.0,3.0,2.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,67.0,30.0,2.0,1.0,50.0,80.0,1.0202011031051061e+17,11.0,105.0,178.99,4.68,1.3,5701.8,5701.8,5701.8,0.0
1867,1.0,2.0,2.0,3.0,1.0,6.0,5.0,2.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,67.0,15.0,1.0,1.0,50.0,80.0,1.0202011031051061e+17,11.0,105.0,178.99,10.0,2.5,3721.4,3721.4,3721.4,0.0
1881,1.0,2.0,2.0,3.0,1.0,1.0,11.0,2.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,67.0,15.0,1.0,1.0,50.0,80.0,1.0202011031241011e+17,11.0,124.0,178.99,7.8,2.5,4358.7,4358.7,4358.7,0.0
1900,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,100.0,10.0,1.0,1.0,50.0,20.0,1.020201803006102e+17,18.0,6.0,258.72,15.0,5.0,20374.8,20374.8,20374.8,0.0
1902,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,100.0,11.0,1.0,1.0,50.0,10.0,1.020201803028101e+17,18.0,28.0,258.72,22.0,10.0,22531.6,22531.6,22531.64,0.0
1903,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,90.0,11.0,1.0,1.0,50.0,90.0,1.020201803028101e+17,18.0,28.0,258.72,7.0,1.2,2359.1,2359.1,2359.11,0.0
1906,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,100.0,11.0,1.0,1.0,50.0,90.0,1.020201803028102e+17,18.0,28.0,258.72,43.0,5.0,17604.1,17604.1,17604.11,0.0
1908,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,80.0,12.0,1.0,1.0,50.0,10.0,1.020201803050101e+17,18.0,50.0,258.72,15.0,5.0,10754.6,10754.6,10754.64,0.0
1910,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,8.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,100.0,12.0,1.0,1.0,50.0,20.0,1.020201803050103e+17,18.0,50.0,258.72,7.0,2.5,6703.9,6703.9,6703.9,0.0
1911,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,40.0,12.0,1.0,1.0,50.0,80.0,1.020201803061101e+17,18.0,61.0,258.72,18.0,10.0,9586.7,9586.7,9586.7,0.0
1913,1.0,2.0,2.0,3.0,1.0,1.0,7.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,50.0,13.0,1.0,1.0,50.0,80.0,1.0202018030611011e+17,18.0,61.0,258.72,25.0,5.0,7409.9,7409.9,7409.9,0.0
1915,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,13.0,1.0,1.0,50.0,90.0,1.020201803061102e+17,18.0,61.0,258.72,3.3,1.2,4964.7,4964.7,4964.71,0.0
1916,1.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,13.0,1.0,1.0,50.0,90.0,1.020201803061102e+17,18.0,61.0,258.72,2.04,1.2,3403.1,3403.1,3403.11,0.0
1917,1.0,2.0,2.0,3.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,100.0,13.0,1.0,1.0,50.0,90.0,1.020201803061104e+17,18.0,61.0,258.72,18.0,3.3,6867.7,6867.7,6867.71,0.0
1918,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,50.0,13.0,1.0,1.0,50.0,90.0,1.020201803083101e+17,18.0,83.0,258.72,18.0,3.3,4208.3,4208.3,4208.31,0.0
1921,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,90.0,13.0,1.0,1.0,50.0,90.0,1.0202018030831011e+17,18.0,83.0,258.72,25.0,2.5,4384.9,4384.9,4384.91,0.0
1922,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,100.0,14.0,1.0,1.0,50.0,10.0,1.020201803083102e+17,18.0,83.0,258.72,38.0,12.5,31763.1,31763.1,31763.14,0.0
1923,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,14.0,1.0,1.0,50.0,90.0,1.020201803105101e+17,18.0,105.0,258.72,16.5,3.3,6781.0,6781.0,6781.01,0.0
1924,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,100.0,14.0,1.0,1.0,50.0,90.0,1.020201803105101e+17,18.0,105.0,258.72,9.9,1.2,2407.7,2407.7,2407.71,0.0
1925,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,50.0,14.0,1.0,1.0,50.0,90.0,1.020201803105101e+17,18.0,105.0,258.72,16.5,5.0,7333.6,7333.6,7333.61,0.0
1927,1.0,2.0,2.0,3.0,1.0,1.0,9.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,50.0,15.0,1.0,1.0,50.0,90.0,1.0202018031051011e+17,18.0,105.0,258.72,4.62,1.2,1675.8,1675.8,1675.81,0.0
1930,1.0,2.0,2.0,3.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,100.0,15.0,1.0,1.0,50.0,60.0,1.020201803116101e+17,18.0,116.0,258.72,21.76,5.0,29640.1,29637.1,29640.13,0.0
1931,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,100.0,15.0,1.0,1.0,50.0,90.0,1.020201803116102e+17,18.0,116.0,258.72,10.98,2.5,7000.6,7000.6,7000.61,0.0
1932,1.0,2.0,2.0,3.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,50.0,15.0,1.0,1.0,50.0,90.0,1.020201803116103e+17,18.0,116.0,258.72,5.5,2.5,3136.6,3136.6,3136.61,0.0
