,Region,Zone,District,Enumeration area,Head Sex,Holder Number,PARCEL,Field,part,Field Type,CROP,OWN TYPE,Packed under extension?,Used Irrigation?,Prevention for soil erosion?,Measure for Errosion,SEEDTYPE,DAMAGE,Damage measure,Damage type,Ferilizer,Double cropping?,Previous state of field,Percent share of mixed crops,Land Utilization,Farmers Association,Household Number,Enumeration area sample weight,Weight of Indigenous seed,Closure error,Area in Square meter,Production Of Condition in Kg
1,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,5.0,7.0,208.58,5.92,188.0,4114.2699999999995,514.2840000000001
2,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,5.0,7.0,208.58,7.4,33.0,4281.03,535.129
3,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,5.0,7.0,208.58,5.18,128.0,3314.16,414.27
5,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,5.0,8.0,208.58,8.88,250.0,3848.01,481.00100000000003
6,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,5.0,8.0,208.58,8.88,134.0,3748.2900000000004,468.536
7,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,5.0,8.0,208.58,5.92,94.0,1924.35,240.544
8,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,5.0,15.0,208.58,5.92,471.0,2353.0699999999997,294.13399999999996
10,1.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,5.0,19.0,208.58,2.96,99.0,1659.8799999999999,207.485
11,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,5.0,19.0,208.58,6.41,42.0,3515.07,439.384
12,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,5.0,23.0,208.58,2.96,70.0,998.4899999999999,124.811
