,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Part,Field Type,CROP,Owner type,Extension,Irrigation Used,SERRO,MERRO,Seed Type,Any Damage?,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,How many times do you produce crops,What was the field used for?,Percent of Field in Use,Land Use Type,Household Id,FWEIGHT,Weight of Non-improved Seed,Closure Error,Enumerator Area (sq. m.),Computer Area (sq. m.),Area in Hectar,Area in Square meter,Sampling Weight,Production Of Condition in Kg,Production
252,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,20.0,255.06,1.02,1.78,884.41,884.41,0.088441,884.41,255.06,831.3499999999999,83.135
270,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,69.0,255.06,8.16,1.33,166.1,166.1,0.01661,166.1,255.06,156.13,15.613
281,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,89.0,255.06,6.12,2.45,120.28,120.28,0.012028,120.28,255.06,113.06,11.306
288,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,95.0,255.06,11.22,2.5,103.87,103.87,0.010387,103.87,255.06,97.64,9.764
291,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,95.0,255.06,3.06,0.46,400.63,400.63,0.040063,400.63,255.06,376.59,37.659
311,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,146.0,255.06,1.02,1.0,113.25,113.25,0.011325,113.25,255.06,106.46,10.646
320,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,152.0,255.06,1.02,1.89,108.64,108.64,0.010864,108.64,255.06,102.12,10.212
324,1.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,164.0,255.06,1.02,3.1,169.01,169.01,0.016901,169.01,255.06,158.87,15.887
335,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,17.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,170.0,255.06,1.53,3.21,95.75,95.75,0.009575,95.75,255.06,90.01,9.001
341,1.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,182.0,255.06,2.04,2.54,168.45,168.45,0.016845,168.45,255.06,158.34,15.834
