,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Part,Field Type,CROP,Owner type,Extension,Irrigation Used,SERRO,MERRO,Seed Type,Any Damage?,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,How many times do you produce crops,What was the field used for?,Percent of Field in Use,Land Use Type,Household Id,FWEIGHT,Weight of Non-improved Seed,Closure Error,Enumerator Area (sq. m.),Computer Area (sq. m.),Area in Hectar,Area in Square meter,Sampling Weight,Production Of Condition in Kg,Production
1271,1.0,1.0,5.0,8.0,2.0,1.0,1.0,1.0,11.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,24.0,254.95,13.206250477473482,1.46,189.52,189.52,0.018952,189.52,254.95,236.90000000000003,23.69
2257,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,3.0,335.24,3.24,1.4345899350816191,1524.5300471823327,1514.0311364418371,0.031295,312.95,335.24,300.43,30.043
2305,1.0,2.0,1.0,11.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,76.0,335.24,2.81,0.96,270.2,270.2,0.02702,270.2,335.24,259.39,25.939
2306,1.0,2.0,1.0,11.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,76.0,335.24,18.27,0.31,1066.77,1066.77,0.106677,1066.77,335.24,1024.1,102.41
2319,1.0,2.0,1.0,11.0,3.0,2.0,1.0,9.0,2.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,50.0,1.0,95.0,335.24,4.1,0.3,337.34,337.34,0.033734,337.34,335.24,323.85,32.385
2335,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,4.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,116.0,335.24,10.4,0.63,384.96,384.96,0.038496,384.96,335.24,369.56,36.956
2338,1.0,2.0,1.0,11.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,116.0,335.24,1.89,0.75,107.7,107.7,0.01077,107.7,335.24,103.39,10.339
2370,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,146.0,335.24,5.09,0.45,414.93,195.31,0.041493,414.93,335.24,398.33,39.833
2372,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,4.0,1.0,2.0,8.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,146.0,335.24,4.09,0.16,297.26,297.26,0.029726,297.26,335.24,285.37,28.537
2459,1.0,2.0,2.0,5.0,4.0,1.0,1.0,2.0,3.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,2.0,335.71,2.5,0.36,118.59,118.59,0.011859,118.59,335.71,166.03,16.603
