,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Part,Field Type,CROP,Owner type,Extension,Irrigation Used,Soil Erosion,Measure taken to soil erosion,Seed Type,Any Damage?,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,How many times do you produce crops,What was the field used for?,Percent of Field in Use,Land Utilization,Household Id,Sampling Weight,Weight of Non-improved Seed,Closure Error,Enumerator Area in sqm,Computed Area in sqm,Area in Square meter,Production Of Condition in Kg
250,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,1.0,101.0,248.25,1.02,1.27,111.36,111.36,111.36,56.79
342,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,1.0,27.0,248.26,4.16,0.74,292.17,292.17,292.17,204.51999999999998
343,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,27.0,248.26,1.04,0.83,70.11,70.11,70.11,49.08
371,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,62.0,248.26,0.52,0.95,157.46,157.46,157.46,110.22000000000001
401,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,117.0,248.26,1.56,1.24,181.97,181.97,181.97000000000003,127.38000000000001
402,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,117.0,248.26,0.52,0.52,86.9,86.9,86.89999999999999,60.83
421,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,147.0,248.26,1.04,0.22,220.76,220.76,220.76,154.53
432,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,13.0,250.82,1.3,0.75,219.91,219.91,219.91,195.72
446,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,95.0,1.0,33.0,250.82,12.78,2.72,1168.41,1168.41,1168.41,1039.8799999999999
455,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,43.0,250.82,1.4,1.51,323.63,323.63,323.63000000000005,288.03000000000003
