,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Part,Field Type,CROP,Owner type,Extension,Irrigation Used,Soil Erosion,Measure taken to soil erosion,Seed Type,Any Damage?,Any Measure to Prevent Damage,Type of Damage Prevention,Fertilizer Used,How many times do you produce crops,What was the field used for?,Percent of Field in Use,Land Utilization,Household Id,Sampling Weight,Weight of Non-improved Seed,Closure Error,Enumerator Area in sqm,Computed Area in sqm,Area in Square meter,Production Of Condition in Kg
2401,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,5.0,417.5,3.36,1.95,124.67,124.67,124.67,194.49
2431,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,76.0,417.5,5.04,0.5,493.17,493.17,493.17,769.35
2433,1.0,2.0,1.0,11.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,76.0,417.5,20.2,1.92,896.76,896.76,896.7600000000001,1398.95
2443,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,50.0,1.0,92.0,417.5,10.08,1.35,1278.15,1278.15,1278.15,1993.91
2484,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,163.0,417.5,4.2,0.7,226.32,226.32,226.32,353.06
2495,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,50.0,1.0,179.0,417.5,7.04,1.14,759.35,759.35,759.35,1184.5900000000001
2538,1.0,2.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,12.0,345.46,3.9,0.42,293.14,293.14,293.14,463.15999999999997
2549,1.0,2.0,2.0,5.0,4.0,1.0,1.0,9.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,50.0,1.0,16.0,345.46,5.42,0.47,234.31,234.31,234.31,370.21000000000004
2550,1.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,24.0,345.46,11.865777618481049,0.42,575.45,1399.5118858181268,575.45,909.21
2558,1.0,2.0,2.0,5.0,4.0,2.0,1.0,6.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,28.0,345.46,4.0,1.36,362.0,362.0,362.00000000000006,571.96
2563,1.0,2.0,2.0,5.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,40.0,345.46,8.0,0.6,430.91,430.91,430.90999999999997,680.84
2580,1.0,2.0,2.0,5.0,4.0,2.0,1.0,5.0,1.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,60.0,345.46,11.865777618481049,1.05,887.26,887.26,887.26,1401.8700000000001
2586,1.0,2.0,2.0,5.0,4.0,1.0,1.0,4.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,61.0,345.46,5.85,0.8,263.09,263.09,263.09,415.67999999999995
2594,1.0,2.0,2.0,5.0,4.0,1.0,1.0,6.0,1.0,2.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,50.0,1.0,74.0,345.46,4.1,1.66,142.05,142.05,142.05,224.44000000000003
