,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Extenstion Program,Irrigation used?,Is the Soil Erosion,Measures taken to prevent Soil Erosion,SEED TYPE,Is there Damage?,Measure taken to prevent damage,Damage measure taken type,Fertilizer Used?,Fertilizer Type,How many times do you produce crops,What was the field used for?,APERCENT,Household Id,Sampling Weight,Weight of non-improved seed,"If Chemical Fertilizer,Quantity in KG",CERROR,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
209,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,19.0,284.09,2.0,0.0,1.21,185.01,5.92,0.0
214,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,31.0,284.09,0.55,0.5,0.35,186.82,5.978,0.5
247,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,157.0,284.09,2.5,0.0,1.27,124.8,3.994,0.0
248,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,163.0,284.09,2.4,0.0,0.73,273.48,8.751000000000001,0.0
327,1.0,1.0,2.0,8.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,12.0,290.82,0.77,0.0,3.12,125.95,5.416,0.0
331,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,17.0,290.82,1.1,0.0,2.09,284.86,12.249000000000002,0.0
379,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,137.0,290.82,0.55,0.0,2.52,151.72,6.523999999999999,0.0
380,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,147.0,290.82,0.55,0.0,1.39,408.15,17.549999999999997,0.0
389,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,16.0,309.93,1.0,0.0,0.39,310.2,50.563,0.0
455,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,114.0,309.93,1.0,0.0,3.63,251.44,40.98499999999999,0.0
458,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,124.0,309.93,10.614753325272067,0.0,1.19,103.8,16.919,0.0
467,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,129.0,309.93,0.5,0.0,4.17,150.11,24.468,0.0
559,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,33.0,279.81,5.33,0.0,1.7,504.95,40.396,0.0
570,1.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,52.0,279.81,4.47,3.0,1.28,185.15,14.812,3.0
586,1.0,1.0,3.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,109.0,279.81,0.96,0.0,1.73,77.28,6.182,0.0
747,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,67.0,307.45,0.72,0.0,0.53,150.92,7.697000000000001,0.0
767,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,94.0,307.45,0.48,0.0,0.8,160.32000000000002,8.176,0.0
794,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,150.0,307.45,2.4,0.0,0.77,130.70999999999998,6.6659999999999995,0.0
812,1.0,1.0,3.0,10.0,4.0,1.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,180.0,307.45,1.2,0.0,0.61,212.34,10.829,0.0
1025,1.0,1.0,3.0,18.0,6.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,265.0,373.07,2.01,0.0,1.1,143.42000000000002,6.3100000000000005,0.0
1154,1.0,1.0,4.0,10.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,56.0,400.75,0.55,0.0,3.86,229.95000000000002,3.909,0.0
1177,1.0,1.0,4.0,10.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,87.0,400.75,1.68,0.0,2.75,103.83,1.765,0.0
1206,1.0,1.0,4.0,10.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,151.0,400.75,0.05,0.0,3.24,135.95,2.311,0.0
1844,1.0,1.0,6.0,16.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,144.0,307.5,13.08,0.0,1.5925029324190205,259.31,8.817,0.0
1872,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,49.0,325.95,3.88,0.0,1.15,565.35,19.222,0.0
1881,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,55.0,325.95,1.67,0.0,0.64,195.38,6.643000000000001,0.0
1884,1.0,1.0,6.0,19.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,55.0,325.95,1.2,0.0,1.67,173.85999999999999,5.9110000000000005,0.0
1888,1.0,1.0,6.0,19.0,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,67.0,325.95,2.0,0.0,2.87,180.45,6.135,0.0
1890,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,100.0,73.0,325.95,3.06,0.0,0.46,308.12,10.476,0.0
1905,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,122.0,325.95,2.42,0.0,1.27,95.91000000000001,3.261,0.0
1908,1.0,1.0,6.0,19.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,128.0,325.95,3.0,0.0,0.56,296.12,10.068,0.0
1990,1.0,2.0,1.0,5.0,7.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,18.0,379.21,1.04,0.0,0.54,156.2,19.994,0.0
2071,1.0,2.0,1.0,11.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,39.0,463.53,2.92,3.0,0.57,260.72,58.141,3.0
2078,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,57.0,463.53,2.92,5.0,3.51,157.09,35.031,5.0
2095,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,50.0,93.0,463.53,10.95,0.0,1.36,376.02,83.85199999999999,0.0
2097,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,50.0,93.0,463.53,2.0,0.0,0.7,270.68,60.362,0.0
2107,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,111.0,463.53,12.25,6.0,1.94,585.0799999999999,130.47299999999998,6.0
2112,1.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,129.0,463.53,2.5,3.0,3.67,249.82,55.709999999999994,3.0
2114,1.0,2.0,1.0,11.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,141.0,463.53,10.95,4.45,2.07,149.85999999999999,33.419,4.45
2124,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,165.0,463.53,5.84,6.0,2.44,352.42999999999995,78.59200000000001,6.0
2126,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,165.0,463.53,2.19,2.0,1.03,83.28,18.570999999999998,2.0
2194,1.0,2.0,2.0,5.0,4.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,316.65,14.2,0.0,3.44,464.04,54.757,0.0
2195,1.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,9.0,316.65,3.55,0.0,2.2,130.7,15.423,0.0
2196,1.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,50.0,9.0,316.65,3.5,0.0,3.88,334.46999999999997,39.467,0.0
2208,1.0,2.0,2.0,5.0,4.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,21.0,316.65,3.5,0.0,1.49,307.74,36.313,0.0
