,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Extenstion Program,Irrigation used?,Is the Soil Erosion,Measures taken to prevent Soil Erosion,SEED TYPE,Is there Damage?,Measure taken to prevent damage,Damage measure taken type,Fertilizer Used?,Fertilizer Type,How many times do you produce crops,What was the field used for?,APERCENT,Household Id,Sampling Weight,Weight of non-improved seed,"If Chemical Fertilizer,Quantity in KG",CERROR,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
2,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,4.0,288.04,5.88,0.0,1.77,1142.34,66.256,0.0
3,1.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,4.0,288.04,5.88,0.0,1.36,811.05,47.041000000000004,0.0
10,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,100.0,16.0,288.04,1.76,0.0,1.74,1648.56,95.616,0.0
13,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,100.0,28.0,288.04,11.76,0.0,1.4,1812.24,105.10999999999999,0.0
27,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,100.0,50.0,288.04,11.76,0.0,1.26,2139.93,124.116,0.0
32,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,100.0,62.0,288.04,7.84,0.0,1.08,1109.9299999999998,64.376,0.0
36,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,66.0,288.04,7.76,0.0,0.22,2349.79,136.288,0.0
41,1.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,100.0,74.0,288.04,3.58,0.0,2.09,2698.91,156.537,0.0
43,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,86.0,288.04,2.94,0.0,0.62,716.5100000000001,41.558,0.0
52,1.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0,1.0,7.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,100.0,110.0,288.04,6.86,0.0,2.19,636.36,36.909000000000006,0.0
54,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,100.0,114.0,288.04,7.84,0.0,1.06,813.59,47.187999999999995,0.0
206,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,13.0,284.09,13.6,0.0,0.55,4549.389999999999,100.08699999999999,0.0
210,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,19.0,284.09,6.4,4.8,1.66,311.21,6.847,4.8
212,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,19.0,284.09,16.0,30.0,2.13,5222.099999999999,114.886,30.0
215,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,31.0,284.09,4.8,6.5,0.87,1373.12,30.209000000000003,6.5
220,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,37.0,284.09,2.4,2.0,1.61,291.90000000000003,6.422,2.0
221,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,49.0,284.09,14.4,16.0,3.93,2763.66,60.800999999999995,16.0
223,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,55.0,284.09,2.4,3.0,0.67,341.3,7.509,3.0
226,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,67.0,284.09,12.8,25.0,2.12,4541.23,99.907,25.0
227,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,67.0,284.09,5.6,10.4,2.68,1592.07,35.026,10.4
230,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,85.0,284.09,3.2,4.8,2.09,737.73,16.23,4.8
231,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,6.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,85.0,284.09,9.6,6.4,3.24,3266.58,71.865,6.4
233,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,91.0,284.09,12.0,20.0,0.54,4835.0199999999995,106.37,20.0
234,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,100.0,91.0,284.09,12.0,20.0,0.5,3960.0400000000004,87.121,20.0
237,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,109.0,284.09,4.0,3.2,1.63,861.27,18.948,3.2
238,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,109.0,284.09,4.0,5.0,2.43,1295.26,28.496,5.0
239,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,121.0,284.09,13.6,15.0,1.43,3375.73,74.266,15.0
243,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,6.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,145.0,284.09,9.6,10.0,0.42,4384.19,96.452,10.0
244,1.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,145.0,284.09,8.8,12.0,0.92,2259.78,49.714999999999996,12.0
245,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,145.0,284.09,6.4,12.0,2.75,2050.27,45.106,12.0
249,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,163.0,284.09,12.0,25.0,2.03,5080.04,111.761,25.0
251,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,175.0,284.09,2.4,2.4,2.16,455.64,10.024,2.4
252,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,3.0,285.36,10.92,5.022,1.21,2472.98,155.798,5.022
258,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,9.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,13.0,285.36,7.1,11.031,0.77,3515.93,221.50400000000002,11.031
268,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,13.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,18.0,285.36,0.8,0.0,0.73,287.25,18.097,0.0
284,1.0,1.0,2.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,78.0,285.36,2.013,5.022,0.11,596.58,37.585,5.022
307,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,133.0,285.36,4.69,5.022,0.21,1354.97,85.36300000000001,5.022
312,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,11.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,138.0,285.36,3.24,2.061,0.52,1090.17,68.681,2.061
321,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,11.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,2.0,290.82,7.2,3.12,1.38,787.7099999999999,33.083999999999996,3.12
325,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,5.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,12.0,290.82,11.34,15.6,1.66,2008.53,84.358,15.6
326,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,8.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,12.0,290.82,8.1,8.58,3.07,786.23,33.022,8.58
330,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,17.0,290.82,6.48,7.8,2.63,527.87,22.171,7.8
334,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,27.0,290.82,8.1,4.68,0.52,1090.17,45.787000000000006,4.68
336,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,7.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,32.0,290.82,4.05,7.02,0.44,322.68,13.552999999999999,7.02
340,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,47.0,290.82,10.053,12.5,2.57,958.62,40.262,12.5
341,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,100.0,57.0,290.82,10.53,8.58,2.49,1001.56,42.065999999999995,8.58
342,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,8.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,57.0,290.82,8.91,25.0,3.05,1489.4399999999998,62.556,25.0
343,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,10.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,57.0,290.82,4.05,5.46,1.48,660.49,27.741,5.46
344,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,57.0,290.82,16.2,25.0,0.54,2111.19,88.67,25.0
345,1.0,1.0,2.0,8.0,4.0,1.0,1.0,3.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,62.0,290.82,16.2,12.5,1.15,863.06,36.248999999999995,12.5
346,1.0,1.0,2.0,8.0,4.0,1.0,1.0,4.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,62.0,290.82,12.96,10.92,4.31,2615.13,109.835,10.92
347,1.0,1.0,2.0,8.0,4.0,1.0,1.0,5.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,62.0,290.82,25.11,50.0,1.1,3259.57,136.90200000000002,50.0
351,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,10.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,72.0,290.82,4.05,6.24,0.52,554.47,23.288000000000004,6.24
354,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,8.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,77.0,290.82,2.43,4.68,3.86,198.82,8.35,4.68
355,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,12.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,77.0,290.82,4.05,7.8,1.69,455.17,19.117,7.8
356,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,14.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,77.0,290.82,5.5,6.57,2.33,467.33,19.628,6.57
360,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,21.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,77.0,290.82,12.15,12.5,0.94,892.51,37.485,12.5
361,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,77.0,290.82,10.53,25.0,3.13,1010.8499999999999,42.455999999999996,25.0
362,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,87.0,290.82,5.67,12.5,1.25,467.01,19.614,12.5
363,1.0,1.0,2.0,8.0,4.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,87.0,290.82,8.1,12.5,1.66,860.65,36.147,12.5
364,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,9.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,92.0,290.82,3.78,4.68,2.12,458.84000000000003,19.271,4.68
365,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,92.0,290.82,5.45,12.5,1.37,782.13,32.849000000000004,12.5
367,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,6.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,102.0,290.82,8.91,12.5,0.22,1746.1,73.336,12.5
368,1.0,1.0,2.0,8.0,4.0,2.0,1.0,1.0,8.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,102.0,290.82,4.86,3.12,0.33,685.4300000000001,28.788000000000004,3.12
369,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,100.0,107.0,290.82,8.1,12.5,1.0,737.69,30.983,12.5
370,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,3.0,1.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,100.0,107.0,290.82,4.05,7.02,1.5,1474.65,61.93500000000001,7.02
372,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,10.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,117.0,290.82,12.96,25.5,4.34,3856.3399999999997,161.966,25.5
373,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,12.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,117.0,290.82,8.91,12.5,3.35,1266.13,53.17700000000001,12.5
374,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,122.0,290.82,16.2,50.0,1.74,3599.02,151.159,50.0
375,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,122.0,290.82,9.72,12.5,0.74,1855.13,77.915,12.5
376,1.0,1.0,2.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,122.0,290.82,8.1,7.02,1.4,1131.03,47.503,7.02
378,1.0,1.0,2.0,8.0,4.0,2.0,1.0,2.0,2.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,132.0,290.82,9.72,7.8,2.14,1395.87,58.62700000000001,7.8
381,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,147.0,290.82,4.86,8.58,1.94,975.5,40.971000000000004,8.58
382,1.0,1.0,2.0,8.0,4.0,1.0,1.0,1.0,9.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,147.0,290.82,1.62,1.56,4.08,644.28,27.060000000000002,1.56
385,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,309.93,7.13,14.13,0.35,2264.5499999999997,427.99999999999994,14.13
386,1.0,1.0,2.0,12.0,5.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,4.0,309.93,12.4,20.31,1.1,3628.38,685.7640000000001,20.31
387,1.0,1.0,2.0,12.0,5.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,309.93,11.53,13.42,2.35,5029.92,950.6550000000001,13.42
392,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,10.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,16.0,309.93,5.46,8.23,1.05,1735.16,327.945,8.23
393,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,12.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,16.0,309.93,4.77,4.98,0.93,1312.87,248.13199999999998,4.98
403,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,37.0,309.93,4.74,8.41,1.22,1668.22,315.294,8.41
404,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,8.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,37.0,309.93,1.74,3.17,0.99,791.88,149.665,3.17
405,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,10.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,37.0,309.93,4.24,7.0,0.86,1435.65,271.33799999999997,7.0
406,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,12.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,37.0,309.93,5.09,7.92,0.39,1540.28,291.113,7.92
409,1.0,1.0,2.0,12.0,5.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,47.0,309.93,5.95,7.13,0.86,1903.4799999999998,359.758,7.13
412,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,52.0,309.93,0.45,0.5,2.13,208.57,39.42,0.5
413,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,52.0,309.93,0.78,0.8,0.92,315.44,59.618,0.8
414,1.0,1.0,2.0,12.0,5.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,52.0,309.93,6.98,7.58,2.04,2963.65,560.13,7.58
415,1.0,1.0,2.0,12.0,5.0,1.0,1.0,4.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,52.0,309.93,5.43,6.55,2.49,1709.65,323.12399999999997,6.55
419,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,63.0,309.93,13.15,15.24,1.2,3605.2000000000003,681.383,15.24
420,1.0,1.0,2.0,12.0,5.0,1.0,1.0,1.0,11.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,63.0,309.93,4.34,5.74,0.61,1488.59,281.344,5.74
421,1.0,1.0,2.0,12.0,5.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,63.0,309.93,6.12,7.04,1.11,1976.4699999999998,373.553,7.04
425,1.0,1.0,2.0,12.0,5.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,68.0,309.93,8.15,9.0,1.5925029324190205,2440.7599999999998,461.304,9.0
