,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Extenstion Program,Irrigation used?,Is the Soil Erosion,Measures taken to prevent Soil Erosion,SEED TYPE,Is there Damage?,Measure taken to prevent damage,Damage measure taken type,Fertilizer Used?,Fertilizer Type,How many times do you produce crops,What was the field used for?,APERCENT,Household Id,Sampling Weight,Weight of non-improved seed,"If Chemical Fertilizer,Quantity in KG",CERROR,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
991,1.0,1.0,3.0,18.0,6.0,1.0,1.0,1.0,10.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,103.0,373.07,0.56,0.0,2.59,300.07,8.702,0.0
1040,1.0,1.0,4.0,3.0,9.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,100.0,77.0,282.95,10.614753325272067,1.0,1.88,106.95,12.940999999999999,1.0
1100,1.0,1.0,4.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,100.0,61.0,268.39,10.614753325272067,18.75,0.47,1646.7399999999998,199.256,18.75
1208,1.0,1.0,4.0,10.0,3.0,1.0,1.0,2.0,3.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,151.0,400.75,0.35,0.0,2.03,413.90999999999997,50.083,0.0
2077,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,57.0,463.53,2.19,0.0,0.41,231.44000000000003,57.86,0.0
2096,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,6.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,50.0,93.0,463.53,12.3,0.0,1.36,376.02,94.005,0.0
2098,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,7.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,50.0,93.0,463.53,3.25,0.0,0.7,270.68,67.67,0.0
2102,1.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,105.0,463.53,4.38,5.34,0.24,784.7800000000001,196.195,5.34
2113,1.0,2.0,1.0,11.0,3.0,2.0,1.0,1.0,3.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,129.0,463.53,4.0,3.0,3.67,249.82,62.45499999999999,3.0
2117,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,147.0,463.53,10.614753325272067,7.0,3.03,479.34,119.83500000000001,7.0
2118,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,6.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,147.0,463.53,10.614753325272067,8.9,2.53,554.0500000000001,138.513,8.9
2119,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,7.0,1.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,147.0,463.53,10.614753325272067,11.2,2.19,706.54,176.635,11.2
2125,1.0,2.0,1.0,11.0,3.0,1.0,1.0,1.0,6.0,2.0,8.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,50.0,165.0,463.53,6.75,6.0,2.44,352.42999999999995,88.108,6.0
2197,1.0,2.0,2.0,5.0,4.0,1.0,1.0,1.0,5.0,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,50.0,9.0,316.65,3.7,0.0,3.88,334.46999999999997,44.819,0.0
