,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevension/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of chemical fertilizer used,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
265,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,54.0,265.29,2.24,1.941,286.96,32.43,1.941
409,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,110.0,278.37,1.14,1.079,67.14999999999999,15.65,1.079
421,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,128.0,278.37,1.14,0.0,169.99,39.61,0.0
431,1.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,146.0,278.37,2.85,0.0,119.5,27.839999999999996,0.0
438,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,152.0,278.37,1.71,1.429,77.08,17.96,1.429
479,1.0,1.0,2.0,14.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,72.0,265.29,10.0,3.882,625.7,130.77,3.882
622,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,95.0,270.42,2.94,1.724,449.08,19.31,1.724
676,1.0,1.0,3.0,7.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,73.0,265.29,2.56,1.211,380.91,41.14,1.211
755,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,126.0,274.86,0.62,0.0,182.57,16.25,0.0
770,1.0,1.0,3.0,11.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,150.0,274.86,1.24,1.553,358.85,31.94,1.553
781,1.0,1.0,3.0,11.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,180.0,274.86,12.4,0.0,156.54999999999998,13.930000000000001,0.0
783,1.0,1.0,3.0,11.0,1.0,2.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,180.0,274.86,8.45,0.0,1055.18,93.91000000000001,0.0
