,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevension/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of chemical fertilizer used,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
13,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,82.0,272.26,16.08,4.907,4145.88,953.5500000000001,4.907
23,1.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,138.0,272.26,18.2,0.0,5113.339999999999,1176.07,0.0
24,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,142.0,272.26,5.6,0.0,752.5999999999999,173.10000000000002,0.0
32,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,4.0,272.26,4.84,0.0,1825.77,341.42,0.0
33,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,272.26,13.68,0.0,4225.68,790.2,0.0
35,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,21.0,272.26,2.01,0.0,1192.05,222.91,0.0
36,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,21.0,272.26,2.71,0.0,153.21,28.65,0.0
37,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,21.0,272.26,6.84,4.814,908.8599999999999,169.96,4.814
38,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,21.0,272.26,42.55816841186024,5.785,4774.12,892.76,5.785
39,1.0,1.0,1.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,21.0,272.26,5.32,0.0,823.53,154.0,0.0
