,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevension/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of chemical fertilizer used,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
942,1.0,1.0,4.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,265.29,10.23,15.832,1949.84,288.58000000000004,15.832
996,1.0,1.0,4.0,4.0,4.0,1.0,1.0,6.0,1.0,1.0,8.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,195.0,265.29,5.46,0.0,736.2,108.96,0.0
1001,1.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,4.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,211.0,265.29,1.5,0.0,146.39,21.67,0.0
1041,1.0,1.0,4.0,8.0,4.0,1.0,1.0,4.0,2.0,1.0,8.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,153.0,322.05,4.0,13.2,356.95,41.05,13.2
1056,1.0,1.0,4.0,8.0,4.0,1.0,1.0,3.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,167.0,322.05,10.0,15.529,1117.38,128.5,15.529
2239,1.0,2.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,31.0,357.87,16.75,3.867,839.84,251.95,3.867
2249,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,69.0,357.87,6.03,0.0,1363.48,409.03999999999996,0.0
2250,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,69.0,357.87,6.03,0.0,366.27,109.88,0.0
2264,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,105.0,357.87,10.05,9.783,356.24999999999994,106.88,9.783
2265,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,9.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,105.0,357.87,10.05,9.667,1590.04,477.01000000000005,9.667
2269,1.0,2.0,2.0,4.0,4.0,1.0,1.0,6.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,105.0,357.87,13.4,9.667,706.9200000000001,212.08,9.667
2275,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,117.0,357.87,13.4,10.311,1323.21,396.96,10.311
2276,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,117.0,357.87,13.4,10.436,1930.74,579.22,10.436
2277,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,117.0,357.87,13.4,10.436,816.35,244.91,10.436
2284,1.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,141.0,357.87,42.55816841186024,23.294,2451.54,735.4599999999999,23.294
2290,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,153.0,357.87,30.15,19.567,2361.99,708.6,19.567
2295,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,177.0,357.87,46.9,36.416,2416.55,724.97,36.416
2299,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,177.0,357.87,46.9,32.223,2416.55,724.97,32.223
2307,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,225.0,357.87,26.8,26.089,1694.51,508.34999999999997,26.089
2314,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,249.0,357.87,16.75,9.783,1098.61,329.58,9.783
2317,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,261.0,357.87,20.1,9.667,2162.86,648.86,9.667
2321,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,285.0,357.87,20.1,19.567,2017.95,605.39,19.567
2330,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,321.0,357.87,10.05,32.223,923.28,276.98,32.223
2333,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,333.0,357.87,40.2,39.133,1549.33,464.79999999999995,39.133
2336,1.0,2.0,2.0,4.0,4.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,333.0,357.87,42.55816841186024,32.223,2301.9,690.57,32.223
2342,1.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,357.0,357.87,31.49,0.0,1990.72,597.22,0.0
2349,1.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,357.87,10.8,15.335,296.61,115.09,15.335
2350,1.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,2.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,357.87,24.0,12.268,1206.43,468.1,12.268
2360,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,20.0,357.87,4.8,5.28,315.79999999999995,122.53,5.28
2362,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,20.0,357.87,1.5,3.106,110.69000000000001,42.95,3.106
2363,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,6.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,20.0,357.87,0.73,0.59,94.78999999999999,36.78,0.59
2369,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,32.0,357.87,4.15,3.882,411.0,159.47,3.882
2371,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,32.0,357.87,2.5,3.494,264.0,102.42999999999999,3.494
2372,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,32.0,357.87,2.0,1.941,198.88,77.17,1.941
2374,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,32.0,357.87,12.45,15.917,596.66,231.5,15.917
2379,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,38.0,357.87,2.0,2.912,147.34,57.17,2.912
2381,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,3.0,2.0,8.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,38.0,357.87,2.15,3.688,182.29,70.73,3.688
2385,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,50.0,357.87,4.4,3.688,304.42,118.12,3.688
2386,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,50.0,357.87,5.6,3.882,371.38,144.1,3.882
2390,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,2.0,8.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,56.0,357.87,6.75,8.51,449.57,174.43,8.51
