,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevention/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,APERCENT,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of UREA chemical fertilizer used,Quantity of DAP chemical fertilizer used,Quantity of Both UREA and DAP chemical fertilizer used,CERROR,AREB,Enumerator Area,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
256,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,64.0,316.6,2.32,0.0,0.0,0.0,4.4,9424.0,94.24,94.24,9.047,0.0
270,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,105.0,316.6,2.07,0.0,2.7,0.0,1.98,24597.0,245.97,245.97,23.613,2.7
295,50.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,13.0,287.32,0.9,0.0,0.0,0.0,3.89,10602.0,106.02,106.02,8.058,0.0
304,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,33.0,287.32,1.02,0.0,0.0,0.0,0.87,5307.0,52.51,53.07,4.033,0.0
321,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,63.0,287.32,1.02,0.0,0.0,0.0,3.45,10654.0,106.63,106.54,8.097,0.0
335,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,118.0,287.32,0.6,0.0,0.0,0.0,0.61,7920.0,79.2,79.2,6.019,0.0
339,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,123.0,287.32,0.3,0.0,0.0,0.0,2.27,5669.0,56.69,56.69,4.308,0.0
382,50.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,93.0,348.43,2.25,0.0,0.0,0.0,2.71,21250.0,212.5,212.5,11.05,0.0
386,50.0,1.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,105.0,348.43,2.4,0.0,0.0,0.0,2.83,6748.0,67.48,67.48,3.509,0.0
394,50.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,129.0,348.43,3.4,0.0,0.0,0.0,1.52,9495.0,94.95,94.95,4.937,0.0
403,50.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,147.0,348.43,1.95,0.0,0.0,0.0,0.97,6594.0,65.94,65.94,3.429,0.0
406,50.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,159.0,348.43,4.76,0.0,0.0,0.0,0.96,25145.0,251.45,251.45,13.075,0.0
413,50.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,165.0,348.43,3.9,0.0,0.0,0.0,0.94,14231.0,143.2,142.31,7.4,0.0
420,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,41.0,277.53,1.3,0.0,0.0,0.0,4.6,45770.0,457.07,457.7,45.77,0.0
422,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,46.0,277.53,0.57,0.0,0.0,0.0,2.63,8330.0,83.3,83.3,8.33,0.0
424,50.0,1.0,1.0,2.0,14.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,56.0,277.53,0.7,0.0,0.0,0.0,2.53,10734.0,107.34,107.34,10.734,0.0
425,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,61.0,277.53,1.18,0.0,0.0,0.0,0.31,11863.0,118.61,118.63,11.863,0.0
426,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,61.0,277.53,0.8,0.0,0.0,0.0,1.85,8457.0,84.57,84.57,8.457,0.0
