,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevention/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,APERCENT,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of UREA chemical fertilizer used,Quantity of DAP chemical fertilizer used,Quantity of Both UREA and DAP chemical fertilizer used,CERROR,AREB,Enumerator Area,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
9,50.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,87.0,259.63,7.56,0.0,0.0,0.0,3.66,117488.0,1174.88,1174.88,179.757,0.0
13,50.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,123.0,259.63,22.0,0.0,20.0,0.0,0.91,336731.0,3367.31,3367.31,515.198,20.0
19,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,6.0,304.11,0.8,0.0,0.0,0.0,1.85,9496.0,94.96,94.96,12.06,0.0
20,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,6.0,304.11,10.0,0.0,0.0,0.0,1.72,98801.0,988.01,988.01,125.477,0.0
22,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,100.0,1.0,22.0,304.11,11.02,0.0,10.68,0.0,0.93,308719.0,3103.72,3087.19,392.073,10.68
25,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,2.0,2.0,1.0,6.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,100.0,1.0,29.0,304.11,6.04,0.0,0.0,0.0,0.62,128109.0,1281.09,1281.09,162.698,0.0
26,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,100.0,1.0,29.0,304.11,9.06,0.0,0.0,0.0,2.11,278606.0,2786.06,2786.06,353.83,0.0
27,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,5.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,1.0,29.0,304.11,4.08,0.0,0.0,0.0,0.2,178603.0,1786.03,1786.03,226.826,0.0
28,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,6.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,29.0,304.11,19.02,0.0,10.68,0.0,2.66,405902.0,4059.02,4059.02,515.496,10.68
29,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,8.0,1.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,1.0,29.0,304.11,10.04,0.0,0.0,0.0,0.89,386800.0,3868.0,3868.0,491.236,0.0
31,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,1.0,45.0,304.11,6.04,0.0,0.0,0.0,0.54,287102.0,2871.02,2871.02,364.62,0.0
33,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,1.0,45.0,304.11,3.02,0.0,0.0,0.0,0.02,122667.0,1226.67,1226.67,155.787,0.0
34,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,1.0,8.0,1.0,6.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,100.0,1.0,45.0,304.11,0.8,0.0,0.0,0.0,1.0,14291.0,142.91,142.91,18.15,0.0
