,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevention/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,APERCENT,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of UREA chemical fertilizer used,Quantity of DAP chemical fertilizer used,Quantity of Both UREA and DAP chemical fertilizer used,CERROR,AREB,Enumerator Area,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
14,50.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,123.0,259.63,22.0,0.0,10.0,0.0,0.4,451430.0,4514.3,4514.3,162.515,10.0
49,50.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,3.0,1.0,7.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,89.0,304.11,6.4,0.0,0.0,0.0,0.59,79954.0,799.54,799.54,39.977,0.0
197,50.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,100.0,1.0,87.0,346.55,6.96,0.0,10.0,0.0,2.6,148838.0,1488.38,1488.38,320.002,10.0
200,50.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,101.0,346.55,3.48,0.0,3.0,0.0,1.51,55358.0,1185.3746742546282,553.58,119.02,3.0
209,50.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,122.0,346.55,1.74,0.0,0.0,0.0,1.55,31829.0,318.29,318.29,68.432,0.0
212,50.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,5.0,100.0,1.0,129.0,346.55,10.44,0.0,6.0,0.0,1.77,190444.0,1904.44,1904.44,409.455,6.0
217,50.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,150.0,346.55,10.44,0.0,6.25,0.0,1.93,116486.0,1164.86,1164.86,250.445,6.25
220,50.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,164.0,346.55,3.48,0.0,0.0,0.0,4.64,189143.0,1891.43,1891.43,406.657,0.0
230,50.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,206.0,346.55,1.74,0.0,0.0,0.0,1.28,11677.0,116.77,116.77,25.106,0.0
234,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,13.0,316.6,22.92,0.0,9.3,0.0,3.41,2756341.0,2756.34,2756.34,1019.846,9.3
236,50.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,18.0,316.6,19.7,0.0,10.5,0.0,2.66,141948.0,1415.6,1419.48,52.521,10.5
241,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,34.0,316.6,16.6,0.0,3.07,0.0,4.44,232465.0,2324.65,2324.65,86.012,3.07
247,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,12.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,44.0,316.6,29.88,0.0,7.2,0.0,1.67,307868.0,3064.21,3078.68,113.911,7.2
251,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,10.0,1.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,49.0,316.6,1.66,2.0,0.0,0.0,1.87,27587.0,273.17,275.87,10.207,2.0
258,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,7.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,64.0,316.6,13.28,0.0,2.0,0.0,3.22,166256.0,1654.8,1662.56,61.515,2.0
264,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,90.0,316.6,16.6,0.0,0.0,0.0,1.53,233639.0,2336.39,2336.39,86.446,0.0
272,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,105.0,316.6,26.88,0.0,0.0,0.0,1.0,377298.0,3772.98,3772.98,139.6,0.0
273,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,105.0,316.6,28.76,0.0,20.0,0.0,1.67,306421.0,3064.21,3064.21,113.376,20.0
275,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,110.0,316.6,14.34,0.0,0.0,0.0,3.87,134747.0,1340.97,1347.47,49.856,0.0
277,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,120.0,316.6,17.96,0.0,50.0,0.0,2.39,390228.0,3902.28,3902.28,144.384,50.0
280,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,100.0,1.0,125.0,316.6,24.9,0.0,19.1,0.0,3.98,474652.0,4758.76,4746.52,175.621,19.1
283,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,135.0,316.6,39.84,0.0,0.0,0.0,1.66,321496.0,3214.96,3214.96,118.954,0.0
286,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,1.0,140.0,316.6,16.6,0.0,0.0,0.0,1.88,216365.0,2163.65,2163.65,80.055,0.0
291,50.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,5.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,3.0,287.32,4.62,0.0,4.65,0.0,4.19,120710.0,1207.1,1207.1,158.13,4.65
292,50.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,3.0,287.32,5.39,0.0,4.91,0.0,3.68,122797.0,1226.81,1227.97,160.864,4.91
296,50.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,2.0,6.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,13.0,287.32,5.39,0.0,3.72,0.0,3.36,14011.0,140.11,140.11,18.354,3.72
297,50.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,2.0,10.0,1.0,7.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,13.0,287.32,7.7,0.0,9.3,0.0,4.0,101627.0,1016.77,1016.27,133.131,9.3
302,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,28.0,287.32,5.39,0.0,6.51,0.0,0.88,79619.0,796.19,796.19,104.301,6.51
310,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,2.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,33.0,287.32,6.93,0.0,6.51,0.0,0.45,115649.0,1185.3746742546282,1156.49,151.5,6.51
313,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,58.0,287.32,19.25,0.0,19.2,0.0,3.09,277599.0,2775.98,2775.99,363.655,19.2
314,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,3.0,3.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,58.0,287.32,16.94,0.0,13.95,0.0,3.98,220996.0,2209.96,2209.96,289.505,13.95
315,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,58.0,287.32,11.55,0.0,9.3,0.0,2.11,188814.0,1888.14,1888.14,247.346,9.3
322,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,63.0,287.32,13.86,0.0,16.74,0.0,1.71,177045.0,1770.45,1770.45,231.929,16.74
326,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,88.0,287.32,6.93,0.0,22.32,0.0,1.16,99698.0,996.98,996.98,130.604,22.32
327,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,88.0,287.32,19.25,0.0,23.74,0.0,0.07,193735.0,1937.35,1937.35,253.793,23.74
333,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,3.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,118.0,287.32,7.07,0.0,3.72,0.0,4.59,148511.0,1485.11,1485.11,194.549,3.72
334,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,118.0,287.32,4.62,0.0,5.58,0.0,3.6,77255.0,772.55,772.55,101.204,5.58
336,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,1.0,9.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,1.0,118.0,287.32,6.16,0.0,7.44,0.0,3.99,78766.0,787.66,787.66,103.183,7.44
