,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field Type,CROP,Ownership,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,Common way of prevention,Seed / Seedling Type,Was crop damaged?,Prevention/precaution measure taken?,Type of measure,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used  in  Meher (main) season?,What was the previous state of the field?,APERCENT,LANDUSE,Household Id,Sampling Weight,Quantity of indigenous seeds used,Quantity of UREA chemical fertilizer used,Quantity of DAP chemical fertilizer used,Quantity of Both UREA and DAP chemical fertilizer used,CERROR,AREB,Enumerator Area,Area in Square meter,Production Of Condition in Kg,Fertilizer Quantity
800,50.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,194.0,309.92,3.5,0.0,0.0,0.0,4.98,98966.0,1185.3746742546282,989.66,136.573,0.0
811,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,215.0,309.92,2.1,0.0,0.0,0.0,1.16,79314.0,793.14,793.14,109.453,0.0
866,50.0,1.0,1.0,4.0,8.0,4.0,1.0,1.0,4.0,1.0,1.0,8.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,186.0,373.87,3.2,0.0,0.0,0.0,1.07,81804.0,818.04,818.04,112.89,0.0
1241,50.0,1.0,1.0,5.0,16.0,5.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,1.0,129.0,295.07,9999.999,0.0,0.0,0.0,1.72,9073.0,90.73,90.73,12.521,0.0
1961,50.0,1.0,2.0,1.0,16.0,3.0,1.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,100.0,1.0,165.0,431.03,7.2,0.0,0.0,0.0,2.75,85231.0,852.31,852.31,149.154,0.0
1970,50.0,1.0,2.0,2.0,7.0,4.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,29.0,394.92,18.35,0.0,0.0,0.0,0.55,175302.0,1753.02,1753.02,406.701,0.0
1976,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,66.0,394.92,100.23975722745665,0.0,0.0,25.0,0.92,79944.0,799.44,799.44,185.47,25.0
1978,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,71.0,394.92,100.23975722745665,0.0,0.0,27.0,1.67,116209.0,1162.09,1162.09,269.605,27.0
1990,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,6.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,86.0,394.92,60.0,0.0,0.0,0.0,0.75,263198.0,2631.98,2631.98,610.619,0.0
1993,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,2.0,2.0,1.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,112.0,394.92,100.23975722745665,0.0,0.0,12.05,0.76,81781.0,817.81,817.81,189.732,12.05
1994,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,2.0,3.0,1.0,8.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,112.0,394.92,100.23975722745665,0.0,0.0,6.78,4.8,18615.0,186.15,186.15,43.187,6.78
1999,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,5.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,140.0,394.92,24.37,0.0,0.0,0.0,0.32,98547.0,985.47,985.47,228.629,0.0
2000,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,6.0,1.0,1.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,1.0,140.0,394.92,15.37,0.0,0.0,0.0,0.12,77802.0,778.02,778.02,180.501,0.0
2001,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,100.0,1.0,147.0,394.92,19.25,0.0,0.0,0.0,0.36,22156.0,221.56,221.56,51.402,0.0
