,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of OTHER fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
345,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,100.0,4.0,1.0,0.0,51.0,336.63,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,27225.0,0.027225,272.25,88.09,88.09,0.5,45194.0,0.45194,45.194,0.0
435,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,108.0,323.67,2.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.63,80173.0,0.080173,801.73,259.41,259.41,2.0,133087.0,1.33087,133.087,1.0
459,50.0,1.0,1.0,2.0,8.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,158.0,323.67,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.66,58258.0,0.058258,582.58,188.5,188.5,1.0,96708.0,0.96708,96.708,0.5
472,50.0,1.0,1.0,2.0,8.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,193.0,323.67,1.56,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.71,72768.0,0.072768,727.68,235.45,235.45,1.0,120795.0,1.20795,120.795,1.0
487,50.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,40.0,322.51,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,31023.0,0.031023,310.23,100.38,100.38,2.0,51498.0,0.51498,51.498,0.0
495,50.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,58.0,322.51,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,21174.0,0.021174,211.74,68.51,68.51,1.0,35149.0,0.35149,35.149,0.0
530,50.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,178.0,322.51,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.56,21520.0,0.02152,215.2,69.63,69.63,1.0,35723.0,0.35723,35.723,0.0
757,50.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,121.0,273.35,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71,18083.0,0.018083,180.83,58.51,58.51,0.5,30018.0,0.30018,30.018,0.0
817,50.0,1.0,1.0,3.0,7.0,7.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,3.0,1.0,0.0,110.0,280.85,3.5,0.0,0.0,1.36,1.6,0.0,0.0,0.0,0.62,103748.0,0.103748,1037.48,335.69,335.69,2.0,172222.0,1.72222,172.222,2.96
860,50.0,1.0,1.0,3.0,7.0,7.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,100.0,3.0,1.0,0.0,152.0,280.85,13.92,0.0,0.0,6.4,6.2,0.0,0.0,0.0,0.47,294237.0,0.294237,2942.37,952.04,952.04,2.0,488433.0,4.88433,488.433,12.600000000000001
