,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of NPS fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Quantity of OTHER fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
196,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,14.0,547.23,0.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,4344.0,0.004344,43.44,34.27,34.27,0.25,6868.0,0.06868,6.868,0.0
218,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,67.0,547.23,2.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,24970.0,0.02497,249.7,196.97,196.97,1.0,39479.0,0.39479,39.479,0.0
312,50.0,1.0,1.0,2.0,14.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,31.0,379.22,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19,33220.0,0.03322,332.2,262.01,262.05,0.5,52523.0,0.52523,52.523,0.0
316,50.0,1.0,1.0,2.0,14.0,3.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,41.0,379.22,1.75,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,17447.0,0.017447,174.47,132.09,132.09,0.5,27585.0,0.27585,27.585,3.0
497,50.0,1.0,1.0,3.0,17.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,47.0,484.23,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,6468.0,0.006468,64.68,51.02,51.02,0.5,10226.0,0.10226,10.226,0.0
527,50.0,1.0,1.0,3.0,17.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,4.0,100.0,4.0,1.0,0.0,102.0,484.23,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,17605.0,0.017605,176.05,138.87,138.87,1.0,27834.0,0.27834,27.834,0.0
553,50.0,1.0,1.0,3.0,17.0,3.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,157.0,484.23,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.58,6856.0,0.006856,68.56,54.08,54.08,0.5,10840.0,0.1084,10.84,0.0
560,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,21.0,457.58,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72,17569.0,0.017569,175.69,138.59,138.59,1.0,27778.0,0.27778,27.778,0.0
561,50.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,5.0,1.0,0.0,21.0,457.58,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.21,8198.0,0.008198,81.98,64.67,64.67,30.0,12962.0,0.12962,12.962,0.0
666,50.0,1.0,1.0,4.0,8.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,262.0,1127.33,3.2,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.81,171976.0,0.171976,1719.76,1356.6,1356.6,0.5,271903.0,2.71903,271.903,10.0
