,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of NPS fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Quantity of OTHER fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
1,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,4.0,1.0,0.0,6.0,679.88,4.17,0.0,0.965,0.0,0.0,0.0,0.0,0.0,0.0,2.21,19183.0,0.019183,191.83,217.74,217.74,4.0,54585.0,0.54585,54.585,0.965
3,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,6.0,679.88,8.34,0.0,2.895,0.0,0.0,0.0,0.0,0.0,0.0,0.92,121642.0,0.121642,1216.42,1380.73,1380.73,1.0,346130.0,3.4613,346.13,2.895
5,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,13.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,6.0,679.88,5.56,0.0,0.0,4.26,25.0,0.0,0.0,0.0,0.0,1.67,165021.0,0.165021,1650.21,1873.11,1873.11,1.5,469565.0,4.69565,469.565,29.259999999999998
6,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,9.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,100.0,1.0,1.0,0.0,6.0,679.88,5.56,0.0,0.0,8.52,25.0,0.0,0.0,0.0,0.0,0.77,170659.0,0.170659,1706.59,1937.11,1937.11,2.0,485608.0,4.85608,485.608,33.519999999999996
10,50.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,15.0,1.0,1.0,0.0,44.0,679.88,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,8425.0,0.008425,84.25,95.63,95.63,0.25,23973.0,0.23973,23.973,0.0
11,50.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,44.0,679.88,4.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,161458.0,0.161458,1614.58,1832.67,1832.67,1.0,459426.0,4.59426,459.426,0.0
13,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,63.0,679.88,49.404082083647324,0.0,26.07,0.0,0.0,0.0,0.0,0.0,0.0,1.34,520181.0,0.520181,5201.81,5904.44,5904.44,2.0,1480167.0,14.80167,1480.167,26.07
14,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,100.0,1.0,1.0,0.0,63.0,679.88,8.34,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,3.31,90458.0,0.090458,904.58,1029.04,1026.77,0.5,257397.0,2.57397,257.397,42.0
15,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,100.0,4.0,1.0,0.0,63.0,679.88,0.695,0.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,2.46,3542.0,0.003542,35.42,40.02,40.2,0.5,10078.0,0.10078,10.078,0.79
16,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,100.0,1.0,1.0,0.0,82.0,679.88,3.48,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,229693.0,0.229693,2296.93,2613.29,2607.18,1.5,653587.0,6.53587,653.587,10.0
