,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of NPS fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Quantity of OTHER fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
7,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,7.0,1.0,7.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,6.0,679.88,14.4,0.0,0.965,0.0,0.0,0.0,0.0,0.0,0.0,1.73,117332.0,0.117332,1173.32,1107.53,1107.53,1.0,28044.0,0.28044,28.044,0.965
21,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,2.0,1.0,7.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,101.0,679.88,9.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,153343.0,0.153343,1533.43,1447.45,1447.45,1.0,36652.0,0.36652,36.652,0.0
31,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,6.0,1.0,7.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,100.0,1.0,1.0,0.0,142.0,679.88,9.36,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,105122.0,0.105122,1051.22,992.28,992.28,0.5,25126.0,0.25126,25.126,5.0
42,50.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,307.0,679.88,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,157616.0,0.157616,1576.16,1487.79,1487.79,1.0,37673.0,0.37673,37.673,0.0
203,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,7.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,28.0,547.23,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,137299.0,0.137299,1372.99,1296.01,1296.01,1.0,164085.0,1.64085,164.085,0.0
211,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,10.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,41.0,547.23,18.72,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.13,339399.0,0.339399,3393.99,2203.69,2203.69,2.0,405613.0,4.05613,405.613,15.0
220,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,67.0,547.23,31.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,389333.0,0.389333,3893.33,3675.03,3675.03,2.0,465288.0,4.65288,465.288,25.0
221,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,1.0,7.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,67.0,547.23,14.04,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5608332931358835,208494.0,0.208494,2084.94,1968.04,1968.04,1.5,249169.0,2.49169,249.169,21.0
226,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,1.0,1.0,0.0,80.0,547.23,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,292055.0,0.292055,2920.55,2756.8,2756.8,2.0,349032.0,3.49032,349.032,0.0
227,50.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,5.0,1.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,4.0,100.0,1.0,1.0,0.0,80.0,547.23,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,341838.0,0.341838,3418.38,3226.71,3226.71,2.0,408527.0,4.08527,408.527,0.0
