,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of UREA fertilizer used, if both DAP and UREA are used","Quantity of DAP fertilizer used, if both DAP and UREA are used",Quantity of NPS fertilizer used,Quantity of UREA IF both UREA and NPS are used,Quantity of NPS IF both UREA and NPS are used,Quantity of OTHER fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
1289,50.0,1.0,2.0,2.0,7.0,4.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,13.0,1071.36,8.2,0.0,0.0,0.0,0.0,0.0,6.58,8.25,0.0,0.85,51736.0,0.051736,517.36,411.91,411.91,3.3,175509.0,1.75509,175.509,14.83
1361,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,53.0,474.94,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09,29243.0,0.029243,292.43,232.83,232.83,2.0,46896.0,0.46896,46.896,0.0
1375,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,10.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,66.0,474.94,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,46251.0,0.046251,462.51,368.24,368.24,2.3,74172.0,0.74172,74.172,0.0
1386,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,79.0,474.94,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,49974.0,0.049974,499.74,397.88,397.88,6.0,80142.0,0.80142,80.142,0.0
1397,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,106.0,474.94,7.01,0.0,0.0,0.0,0.0,0.0,8.8,9.33,0.0,0.87,119992.0,0.119992,1199.92,955.35,955.35,6.0,192429.0,1.92429,192.429,18.130000000000003
1446,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,173.0,474.94,4.026,0.0,0.0,0.0,0.0,0.0,1.32,1.47,0.0,0.47,42993.0,0.042993,429.93,342.3,342.3,4.0,68947.0,0.68947,68.947,2.79
1449,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,4.0,1.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,173.0,474.94,2.84,0.0,0.0,0.0,0.0,0.0,1.32,1.96,0.0,1.93,42283.0,0.042283,422.83,336.65,336.65,3.0,67808.0,0.67808,67.808,3.2800000000000002
1450,50.0,1.0,2.0,2.0,8.0,2.0,1.0,1.0,2.0,5.0,1.0,8.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,173.0,474.94,0.71,0.0,0.0,0.0,0.0,0.0,0.44,2.95,0.0,1.27,13641.0,0.013641,136.41,108.61,108.61,1.0,21876.0,0.21876,21.876,3.39
1474,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0,100.0,5.0,1.0,0.0,4.0,447.95,7.1,0.0,0.0,0.0,0.0,0.0,3.213,3.516,0.0,0.68,42179.0,0.042179,421.79,335.82,335.82,30.0,74579.0,0.74579,74.579,6.729
1476,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,3.0,1.0,8.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,5.0,1.0,2.0,100.0,5.0,1.0,0.0,4.0,447.95,10.65,0.0,0.0,0.0,0.0,0.0,4.298,3.516,0.0,2.2,73327.0,0.073327,733.27,583.81,583.81,30.0,129653.0,1.29653,129.653,7.814
1497,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,11.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,31.0,447.95,11.36,0.0,0.0,0.0,0.0,0.0,8.05,6.75,0.0,0.57,48772.0,0.048772,487.72,1225.9174993184465,388.31,8.0,86237.0,0.86237,86.237,14.8
1498,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,12.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,31.0,447.95,5.33,0.0,0.0,0.0,0.0,0.0,3.22,2.7,0.0,0.24,26042.0,0.026042,260.42,207.34,207.34,4100.0,46046.0,0.46046,46.046,5.92
1505,50.0,1.0,2.0,2.0,13.0,2.0,2.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,45.0,447.95,9.23,0.0,0.0,0.0,0.0,0.0,5.88,6.04,0.0,0.57,126503.0,0.126503,1265.03,1007.19,1007.19,3.0,223677.0,2.23677,223.677,11.92
1525,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,72.0,447.95,14.2,0.0,0.0,0.0,0.0,0.0,7.7,7.52,0.0,0.19,20850.0,0.02085,208.5,166.0,166.0,2.0,36866.0,0.36866,36.866,15.219999999999999
1526,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,72.0,447.95,3.56,0.0,0.0,0.0,0.0,0.0,1.54,1.04,0.0,1.45,19365.0,0.019365,193.65,145.97,154.18,1.0,34241.0,0.34241,34.241,2.58
1528,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,72.0,447.95,28.4,0.0,0.0,0.0,0.0,0.0,11.5,12.22,0.0,1.44,165376.0,0.165376,1653.76,1316.69,1316.69,8.0,292412.0,2.92412,292.412,23.72
1531,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,85.0,447.95,1.4,0.0,0.0,0.0,0.0,0.0,1.09,1.25,0.0,1.47,6864.0,0.006864,68.64,54.65,54.65,1.0,12137.0,0.12137,12.137,2.34
1532,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,85.0,447.95,7.1,0.0,0.0,0.0,0.0,0.0,5.45,5.0,0.0,0.39,96017.0,0.096017,960.17,764.47,764.47,4.0,169773.0,1.69773,169.773,10.45
1534,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,6.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,85.0,447.95,2.13,0.0,0.0,0.0,0.0,0.0,1.09,1.25,0.0,1.43,74257.0,0.074257,742.57,591.22,591.22,2.0,131298.0,1.31298,131.298,2.34
1535,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,1.0,8.0,1.0,8.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,5.0,1.0,0.0,85.0,447.95,0.71,0.0,0.0,0.0,0.0,0.0,1.09,1.25,0.0,0.96,17465.0,0.017465,174.65,139.05,139.05,30.0,30881.0,0.30881,30.881,2.34
1538,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,4.0,1.0,0.0,85.0,447.95,1.65,0.0,0.0,0.0,0.0,0.0,1.09,1.25,0.0,2.32,10205.0,0.010205,102.05,81.25,81.25,2.0,18044.0,0.18044,18.044,2.34
1539,50.0,1.0,2.0,2.0,13.0,2.0,1.0,1.0,4.0,2.0,1.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,3.0,1.0,0.0,85.0,447.95,2.13,0.0,0.0,0.0,0.0,0.0,2.18,1.25,0.0,3.12,60372.0,0.060372,603.72,1225.9174993184465,480.67,2.0,106748.0,1.06748,106.748,3.43
