,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,"If natural fertilizer used, type",How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of MIXED fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
208,50.0,1.0,1.0,2.0,3.0,12.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,100.0,4.0,1.0,0.0,38.0,347.08,6.0,0.0,5.0,0.0,0.0,2.76,27359.0,0.027359,273.59,273.59,273.59,1.0,33312.0,0.33312,33.312,5.0
237,50.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,4.0,1.0,0.0,10.0,218.12,2.5,0.0,0.0,0.0,0.0,1.0,10351.0,0.010351,103.51,103.51,103.51,0.5,15512.0,0.15512,15.512,1.0
346,50.0,1.0,1.0,2.0,13.0,6.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,100.0,4.0,1.0,0.0,33.0,279.54,1.09,0.0,1.0,0.0,0.0,2.57,14047.0,0.014047,140.47,140.47,140.47,1.0,22805.0,0.22805,22.805,1.0
377,50.0,1.0,1.0,2.0,13.0,6.0,1.0,1.0,1.0,14.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,100.0,1.0,1.0,0.0,117.0,279.54,1.31,0.0,0.0,0.0,0.0,1.17,13138.0,0.013138,131.38,131.38,131.38,1.0,21330.0,0.2133,21.33,1.0
593,50.0,1.0,1.0,3.0,7.0,9.0,1.0,1.0,1.0,6.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,5.0,100.0,4.0,1.0,0.0,56.0,251.68,2.0,0.0,0.0,0.0,0.0,1.7379636249456547,19149.0,0.019149,191.49,1369.1838170877845,1380.4153842809528,2.0,23615.0,0.23615,23.615,2.0
624,50.0,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,2.0,100.0,8.0,1.0,0.0,4.0,342.49,0.55,0.0,0.0,0.0,0.0,1.27,14343.0,0.014343,143.43,143.43,143.43,2.0,21718.0,0.21718,21.718,0.0
702,50.0,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,6.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,103.0,342.49,8.8,0.0,0.0,0.0,10.0,1.44,91189.0,0.091189,911.89,911.89,911.89,0.25,138075.0,1.38075,138.075,10.0
894,50.0,1.0,1.0,3.0,18.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,58.0,321.91,2.52,1.5,1.0,0.0,0.0,1.49,24852.0,0.024852,248.52,248.52,248.52,0.25,14742.0,0.14742,14.742,2.5
1051,50.0,1.0,1.0,4.0,13.0,3.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,2.0,100.0,4.0,1.0,0.0,31.0,309.9,2.65,0.0,0.0,0.0,0.0,2.25,22492.0,0.022492,224.92,224.92,224.92,1.2,27386.0,0.27386,27.386,0.0
1548,50.0,1.0,1.0,6.0,5.0,11.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,36.0,212.89,30.0,7.5,7.5,0.0,0.0,1.7379636249456547,19576.0,0.019576,195.76,1369.1838170877845,1380.4153842809528,1.0,23835.0,0.23835,23.835,16.0
1930,50.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,124.0,282.09,3.82,0.0,0.0,0.0,0.0,2.07,152839.0,0.152839,1528.39,1528.39,1528.39,2.0,200409.0,2.00409,200.409,1.0
2119,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,100.0,3.0,1.0,0.0,1.0,287.76,6.72,0.0,0.0,8.0,0.0,1.39,82278.0,0.082278,822.78,773.94,822.78,0.5,41100.0,0.411,41.1,8.0
2122,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,1.0,287.76,6.72,0.0,0.0,8.0,0.0,0.64,107866.0,0.107866,1078.66,1078.47,1078.66,0.5,53881.0,0.53881,53.881,8.0
2130,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,9.0,287.76,0.56,0.0,0.0,0.0,0.0,1.51,11695.0,0.011695,116.95,115.81,116.95,1.0,5841.0,0.05841,5.841,1.0
2131,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,9.0,287.76,0.56,0.0,0.0,0.0,0.0,0.7,7878.0,0.007878,78.78,79.2,78.78,30.0,3935.0,0.03935,3.935,1.0
