,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,"If natural fertilizer used, type",How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of MIXED fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
1,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,3.0,258.46,10.0,0.0,0.0,0.0,0.0,0.78,243938.0,0.243938,2439.38,2294.59,2294.59,1.0,931587.0,9.31587,931.587,1.0
2,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,3.0,258.46,14.0,0.0,0.0,0.0,0.0,1.46,70229.0,0.070229,702.29,660.69,660.61,0.5,268202.0,2.68202,268.202,0.0
4,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,7.0,258.46,10.0,0.0,0.0,0.0,0.0,1.32,386093.0,0.386093,3860.93,3631.77,3631.77,1.25,1474469.0,14.74469,1474.469,1.0
8,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,4.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,20.0,258.46,7.0,0.0,0.0,0.0,0.0,1.48,78797.0,0.078797,787.97,741.2,741.2,0.5,300921.0,3.00921,300.921,1.0
10,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,24.0,258.46,20.0,0.0,0.0,0.0,0.0,4.94,96178.0,0.096178,961.78,904.69,904.69,0.5,367298.0,3.67298,367.298,1.0
11,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,24.0,258.46,15.0,0.0,0.0,0.0,0.0,3.29,343484.0,0.343484,3434.84,3230.97,3230.97,1.5,1311748.0,13.11748,1311.748,0.0
13,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,28.0,258.46,8.0,0.0,0.0,0.0,0.0,2.71,112819.0,0.112819,1128.19,1061.23,1061.23,1.0,430850.0,4.3085,430.85,1.0
15,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,33.0,258.46,20.0,0.0,0.0,0.0,0.0,3.01,312540.0,0.31254,3125.4,2939.89,2939.89,1.25,1193573.0,11.93573,1193.573,1.0
16,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,2.0,4.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.0,1.0,6.0,100.0,1.0,1.0,0.0,33.0,258.46,10.0,0.0,0.0,0.0,0.0,0.55,86289.0,0.086289,862.89,8110.67,8110.67,3.0,329533.0,3.29533,329.533,0.0
17,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,37.0,258.46,18.0,0.0,0.0,0.0,0.0,4.67,478907.0,0.478907,4789.07,4504.82,4504.82,2.0,1828921.0,18.28921,1828.921,1.0
19,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,42.0,258.46,20.0,0.0,0.0,0.0,0.0,0.47,236379.0,0.236379,2363.79,2223.49,2223.49,1.0,902720.0,9.0272,902.72,1.0
