,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,"If natural fertilizer used, type",How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,LANDUSE,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of MIXED fertilizer used,Closure error,Area,Area in Hectare,Area in Square meter,Enumerator Area,Computed Area,Respondent local area,Production Condition,Production Of Condition quintal,Production Of Condition in Kg,Fertilizer Quantity
320,50.0,1.0,1.0,2.0,10.0,10.0,1.0,1.0,1.0,4.0,1.0,8.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,3.0,1.0,2.0,100.0,8.0,1.0,0.0,161.0,333.46,13.261962681993609,0.0,0.0,0.0,0.0,1.7379636249456547,376750.0,0.37675,3767.5,1369.1838170877845,1380.4153842809528,0.5,744820.0,7.4482,744.82,3.0
2285,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,28.0,319.39,1.7,0.0,0.0,0.0,0.0,0.58,12972.0,0.012972,129.72,129.72,129.72,0.2,20236.0,0.20236,20.236,1.0
2304,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,5.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,100.0,1.0,1.0,0.0,40.0,319.39,7.0,6.0,0.0,6.0,0.0,0.98,81597.0,0.081597,815.97,798.11,815.97,0.5,127287.0,1.27287,127.287,12.0
2305,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,2.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,2.0,75.0,1.0,1.0,0.0,40.0,319.39,3.4,6.0,0.0,6.0,0.0,2.28,40184.0,0.040184,401.84,396.5,401.84,0.5,62685.0,0.62685,62.685,12.0
2329,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,2.0,8.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,2.0,33.0,1.0,1.0,0.0,60.0,319.39,20.0,7.0,0.0,7.0,0.0,2.44,26443.0,0.026443,264.43,264.43,264.43,0.5,41249.0,0.41249,41.249,15.0
2335,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,1.0,1.0,0.0,65.0,319.39,32.0,0.0,0.0,0.0,0.0,0.51,178872.0,0.178872,1788.72,1788.72,1788.72,1.0,279031.0,2.79031,279.031,1.0
2339,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,4.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,65.0,319.39,3.0,0.0,0.0,0.0,0.0,1.2,18648.0,0.018648,186.48,186.48,186.48,20.0,29089.0,0.29089,29.089,1.0
2340,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,4.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,65.0,319.39,1.5,0.0,0.0,0.0,0.0,2.48,9172.0,0.009172,91.72,91.72,91.72,15.0,14308.0,0.14308,14.308,1.0
2341,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,5.0,1.0,0.0,76.0,319.39,1.7,0.0,0.0,0.0,0.0,0.84,19692.0,0.019692,196.92,196.92,196.92,25.0,30719.0,0.30719,30.719,1.0
2379,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,20.0,1.0,8.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,2.0,100.0,3.0,1.0,0.0,86.0,319.39,8.0,0.0,0.0,0.0,0.0,0.22,61981.0,0.061981,619.81,619.81,619.81,4.0,96687.0,0.96687,96.687,1.0
