,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,How were seeds planted/ sowed?,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Production Of Condition in Kg,Fertilizer Quantity
277,50.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,14.0,0.0,13.0,318.43,2.5,0.0,0.0,0.0,0.0,512.4,3.0,40.885,0.0
296,50.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,14.0,0.0,33.0,318.43,3.5,0.0,0.0,0.0,0.0,162.59,2.0,12.973,0.0
334,50.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,14.0,0.0,85.0,318.43,0.5,0.0,0.0,0.0,0.0,153.53,3.0,12.25,0.0
366,50.0,1.0,1.0,2.0,13.0,6.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,4.0,0.0,2.0,294.78,3.0,0.0,0.0,0.0,0.0,864.24,0.5,175.74,0.0
373,50.0,1.0,1.0,2.0,13.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,20.0,294.78,10.0,0.0,0.0,0.0,0.0,2719.6,1.5,553.019,0.0
377,50.0,1.0,1.0,2.0,13.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,4.0,0.0,26.0,294.78,1.0,0.0,0.0,0.0,0.0,229.42,0.25,46.651,0.0
390,50.0,1.0,1.0,2.0,13.0,6.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,50.0,294.78,4.0,0.0,0.0,0.0,0.0,152.86,0.25,31.084,0.0
644,50.0,1.0,1.0,3.0,10.0,9.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,7.0,359.8,1.98,0.0,0.0,0.0,0.0,2786.43,0.5,588.126,0.0
647,50.0,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,12.0,359.8,1.5,0.0,0.0,0.0,0.0,442.2,200.0,93.333,0.0
655,50.0,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,22.0,359.8,3.5,1.5,0.0,1.5,0.0,1176.98,400.0,248.422,3.0
666,50.0,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,37.0,359.8,3.9,2.5,0.0,2.5,0.0,2030.67,0.5,428.61,5.0
687,50.0,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,2.0,100.0,16.0,0.0,62.0,359.8,4.25,0.0,0.0,0.0,0.0,409.6,144.0,86.453,0.0
841,50.0,1.0,1.0,3.0,16.0,5.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,14.0,0.0,220.0,955.0,0.25,0.5,0.0,0.5,0.0,98.48,1.0,20.785,1.0
850,50.0,1.0,1.0,3.0,18.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,17.0,448.31,1.5,2.0,0.0,2.0,0.0,466.95,0.12,98.558,4.0
918,50.0,1.0,1.0,4.0,7.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,14.0,0.0,100.0,380.82,1.2,0.0,0.0,0.0,0.0,189.24,2.0,31.174,0.0
1853,50.0,1.0,2.0,1.0,13.0,11.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,100.0,2.0,0.0,43.0,767.79,16.0,0.0,0.0,30.0,0.0,1705.8,0.33,309.722,30.0
1857,50.0,1.0,2.0,1.0,13.0,11.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,25.0,2.0,0.0,64.0,767.79,10.0,0.0,0.0,0.0,0.0,302.78,2.0,54.975,0.0
1912,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,100.0,2.0,0.0,33.0,509.46,10.0,0.0,0.0,5.0,0.0,256.3,0.25,64.921,5.0
1936,50.0,1.0,2.0,2.0,2.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,100.0,2.0,0.0,65.0,509.46,5.0,0.0,0.0,5.0,0.0,197.35,0.25,49.99,5.0
1941,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,2.0,100.0,2.0,0.0,69.0,509.46,5.0,0.0,0.0,5.0,0.0,493.8,0.5,125.079,5.0
1948,50.0,1.0,2.0,2.0,2.0,7.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,4.0,1.0,2.0,100.0,2.0,0.0,73.0,509.46,5.0,0.0,0.0,12.0,0.0,123.1,0.25,31.181,12.0
1962,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,14.0,0.0,8.0,501.22,3.0,0.0,0.0,0.0,0.0,216.65,2.0,59.248,0.0
1986,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,1.0,0.0,25.0,501.22,3.0,1.0,0.0,1.0,0.0,134.3,20.0,36.729,2.0
1987,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,1.0,0.0,25.0,501.22,3.0,1.0,0.0,1.0,0.0,157.4,25.0,43.045,2.0
1998,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,14.0,0.0,30.0,501.22,1.5,1.0,0.0,1.0,0.0,154.7,2.0,42.306,2.0
1999,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,2.0,11.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,14.0,0.0,30.0,501.22,1.5,1.0,0.0,1.0,0.0,107.25,2.0,29.331,2.0
2004,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,14.0,0.0,36.0,501.22,4.0,0.0,0.0,0.0,0.0,252.9,3.0,69.162,0.0
2009,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,46.0,501.22,12.0,2.5,0.0,2.5,0.0,158.75,5.0,43.415,5.0
2021,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,57.0,501.22,6.0,2.5,0.0,2.5,0.0,746.9,6.0,204.259,5.0
2037,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,67.0,501.22,1.5,1.0,0.0,1.0,0.0,150.5,4.0,41.158,2.0
2039,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,1.0,0.0,67.0,501.22,3.0,5.0,0.0,5.0,0.0,351.05,25.0,96.003,10.0
2040,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,67.0,501.22,1.0,1.0,0.0,1.0,0.0,95.0,3.0,25.98,2.0
2041,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,67.0,501.22,5.0,19.0,0.0,19.0,0.0,1020.0,0.5,278.945,38.0
2053,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,77.0,501.22,1.5,1.0,0.0,1.0,0.0,251.3,5.0,68.725,2.0
2054,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,77.0,501.22,1.5,1.0,0.0,1.0,0.0,225.35,53.0,61.628,2.0
2063,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,1.0,0.0,87.0,501.22,3.0,0.5,0.0,0.5,0.0,78.1,15.0,21.358,1.0
2081,50.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,103.0,501.22,8.0,4.0,0.0,4.0,0.0,264.8,2.0,72.417,8.0
2109,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,4.0,501.17,10.0,5.0,0.0,5.0,0.0,660.3,0.17,156.894,10.0
2132,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,52.0,501.17,2.0,4.0,0.0,4.0,0.0,165.8,0.12,39.396,8.0
2145,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,60.0,2.0,0.0,92.0,501.17,3.0,8.0,0.0,2.0,0.0,97.65,0.1,23.203,10.0
2151,50.0,1.0,2.0,2.0,15.0,9.0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,100.0,501.17,2.0,4.0,0.0,4.0,0.0,184.75,0.11,43.899,8.0
2161,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,124.0,501.17,2.0,0.0,0.0,0.0,0.0,199.8,0.12,47.475,0.0
2179,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,156.0,501.17,15.0,5.0,0.0,5.0,0.0,296.85,0.13,70.534,10.0
2188,50.0,1.0,2.0,2.0,20.0,10.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,41.0,330.88,15.0,5.0,0.0,5.0,0.0,1078.9,0.5,120.923,10.0
2193,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,33.0,2.0,0.0,55.0,330.88,12.0,10.0,0.0,10.0,0.0,264.59,0.5,29.656,20.0
2215,50.0,1.0,2.0,2.0,20.0,10.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,95.0,330.88,15.0,5.0,0.0,5.0,0.0,1009.35,0.5,113.129,10.0
2275,50.0,1.0,2.0,2.0,25.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,64.0,495.2,1.8,6.0,0.0,6.0,0.0,613.2,0.1,162.198,12.0
2294,50.0,1.0,2.0,2.0,25.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,97.0,495.2,4.0,5.0,0.0,5.0,0.0,282.1,0.02,74.618,10.0
2308,50.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,1.0,0.0,4.0,457.37,1.56,0.8,0.0,0.82,0.0,150.65,2.0,36.809,1.62
