,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,How were seeds planted/ sowed?,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Production Of Condition in Kg,Fertilizer Quantity
1,50.0,1.0,1.0,1.0,3.0,6.0,1.0,2.0,1.0,2.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,4.0,337.32,9.84,0.0,0.0,0.0,0.0,3621.15,2.0,809.32,0.0
2,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,80.0,2.0,0.0,8.0,337.32,6.56,0.0,0.0,0.0,0.0,1605.24,1.0,358.768,0.0
7,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,20.0,337.32,39.36,0.0,0.0,0.0,0.0,5458.45,3.0,1219.954,0.0
8,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,5.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,20.0,337.32,39.36,0.0,0.0,0.0,0.0,3274.95,2.0,731.945,0.0
10,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,3.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,24.0,337.32,39.36,0.0,0.0,0.0,0.0,6088.05,10.0,1360.668,0.0
11,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,5.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,100.0,2.0,0.0,24.0,337.32,9.84,0.0,0.0,0.0,0.0,6088.05,5.0,1360.668,0.0
12,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,28.0,337.32,19.68,0.0,0.0,0.0,0.0,2372.35,3.0,530.216,0.0
15,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,28.0,337.32,9.84,0.0,0.0,0.0,0.0,4062.3,2.0,907.917,0.0
16,50.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,6.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,28.0,337.32,19.68,0.0,0.0,0.0,0.0,6088.05,2.0,1360.668,0.0
18,50.0,1.0,1.0,1.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,2.0,0.0,32.0,337.32,2.46,0.0,0.0,0.0,0.0,2186.55,0.5,488.689,0.0
