,REC$TYPE,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Holder id,Parcel,Field,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,How were seeds planted/ sowed?,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Respondent local area code,Holder Condition,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Production Of Condition in Kg,Fertilizer Quantity
1865,50.0,1.0,2.0,1.0,13.0,11.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,100.0,2.0,0.0,99.0,767.79,5.0,0.0,0.0,25.0,0.0,483.35,0.5,100.364,25.0
2010,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,1.0,8.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,46.0,501.22,4.0,1.0,0.0,1.0,0.0,138.6,4.0,29.28,2.0
2016,50.0,1.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,9.0,1.0,8.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,14.0,0.0,46.0,501.22,2.0,1.0,0.0,1.0,0.0,350.4,4.0,74.024,2.0
2088,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,1.0,3.0,1.0,8.0,2.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,1.0,330.88,18.75,25.0,0.0,20.0,0.0,1470.95,0.5,276.219,45.0
2093,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,20.0,330.88,10.5,6.25,0.0,6.25,0.0,345.2,0.25,64.823,12.5
2101,50.0,1.0,2.0,2.0,10.0,12.0,1.0,1.0,3.0,1.0,1.0,8.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,5.0,1.0,2.0,100.0,1.0,0.0,56.0,330.88,15.43,15.0,0.0,15.0,0.0,265.75,2.0,49.903,30.0
2117,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,20.0,501.17,18.0,10.0,0.0,10.0,0.0,795.2,0.22,228.295,20.0
2137,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,4.0,1.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,68.0,501.17,30.0,30.0,0.0,30.0,0.0,433.63,1.0,124.491,60.0
2149,50.0,1.0,2.0,2.0,15.0,9.0,2.0,1.0,1.0,3.0,1.0,8.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,2.0,0.0,100.0,501.17,3.0,5.0,0.0,5.0,0.0,292.45,1.4,83.96,10.0
2153,50.0,1.0,2.0,2.0,15.0,9.0,1.0,1.0,2.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,100.0,2.0,0.0,108.0,501.17,10.0,4.0,0.0,6.0,0.0,385.1,0.13,110.559,10.0
