,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Holder Condition,Production Of Condition in Kg,Fertilizer Quantity
280,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,13.0,318.43,2.5,0.0,0.0,0.0,0.0,512.4,3.0,0.0,40.885,0.0
299,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,33.0,318.43,3.5,0.0,0.0,0.0,0.0,162.59,2.0,0.0,12.973,0.0
337,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,85.0,318.43,0.5,0.0,0.0,0.0,0.0,153.53,3.0,0.0,12.25,0.0
371,1.0,1.0,2.0,13.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,2.0,294.78,3.0,0.0,0.0,0.0,0.0,864.24,0.5,0.0,175.74,0.0
378,1.0,1.0,2.0,13.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,20.0,294.78,10.0,0.0,0.0,0.0,0.0,2719.6,1.5,0.0,553.019,0.0
382,1.0,1.0,2.0,13.0,6.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,26.0,294.78,1.0,0.0,0.0,0.0,0.0,229.42,0.25,0.0,46.651,0.0
395,1.0,1.0,2.0,13.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,50.0,294.78,4.0,0.0,0.0,0.0,0.0,152.86,0.25,0.0,31.084,0.0
650,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,1.0,4.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,7.0,359.8,1.98,0.0,0.0,0.0,0.0,2786.43,0.5,0.0,588.126,0.0
653,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,7.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,12.0,359.8,1.5,0.0,0.0,0.0,0.0,442.2,200.0,0.0,93.333,0.0
661,1.0,1.0,3.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,5.0,1.0,2.0,100.0,22.0,359.8,3.5,1.5,0.0,1.5,0.0,1176.98,400.0,0.0,248.422,3.0
