,Region,Zone,District,Farmers Association,Enumeration Area,Head sex,Field type,CROP,Ownership type,Is field under Extension Program?,Is Field Irrigated?,How many times is the field ploughed,Orientation of the field,Is Field Prevented form Erosion,"If field Prevented form Erosion, common way of prevention",Do youprevent land Degradation,Method to prevent land degredation,Type of sowing,Seed / Seedling Type,Was crop damaged ?,Prevention/precaution measure taken?,Type of measure if any?,Is Fertilizer Used?,Type of fertilizer used if any?,Type of chemical fertilizer,How often is temporary crop field used in Meher (main) season,What was the previous state of the field ?,Percent share of mixed crops,Household Id,Sampling weight,Quantity of indigenous seeds used,Quantity of UREA fertilizer used,Quantity of DAP fertilizer used,"Quantity of NPS fertilizer used,",Quantity of BLENDED fertilizer used,Area in Square meter,Respondent local area,Holder Condition,Production Of Condition in Kg,Fertilizer Quantity
1,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,4.0,337.32,9.84,0.0,0.0,0.0,0.0,3621.15,2.0,0.0,809.32,0.0
2,1.0,1.0,1.0,3.0,6.0,1.0,2.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,80.0,8.0,337.32,6.56,0.0,0.0,0.0,0.0,1605.24,1.0,0.0,358.768,0.0
7,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,20.0,337.32,39.36,0.0,0.0,0.0,0.0,5458.45,3.0,0.0,1219.954,0.0
8,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,20.0,337.32,39.36,0.0,0.0,0.0,0.0,3274.95,2.0,0.0,731.945,0.0
10,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,24.0,337.32,39.36,0.0,0.0,0.0,0.0,6088.05,10.0,0.0,1360.668,0.0
11,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,100.0,24.0,337.32,9.84,0.0,0.0,0.0,0.0,6088.05,5.0,0.0,1360.668,0.0
12,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,28.0,337.32,19.68,0.0,0.0,0.0,0.0,2372.35,3.0,0.0,530.216,0.0
15,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,28.0,337.32,9.84,0.0,0.0,0.0,0.0,4062.3,2.0,0.0,907.917,0.0
16,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,28.0,337.32,19.68,0.0,0.0,0.0,0.0,6088.05,2.0,0.0,1360.668,0.0
18,1.0,1.0,1.0,3.0,6.0,2.0,1.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,100.0,32.0,337.32,2.46,0.0,0.0,0.0,0.0,2186.55,0.5,0.0,488.689,0.0
19,1.0,1.0,1.0,3.0,6.0,2.0,1.0,6.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,32.0,337.32,39.36,0.0,0.0,0.0,0.0,6152.4,6.0,0.0,1375.05,0.0
22,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,40.0,337.32,24.6,0.0,0.0,0.0,0.0,4292.2,2.0,0.0,959.299,0.0
23,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.0,2.0,100.0,40.0,337.32,39.36,0.0,0.0,0.0,50.0,6088.05,8.0,0.0,1360.668,50.0
24,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,44.0,337.32,19.68,0.0,0.0,0.0,0.0,5512.1,4.0,0.0,1231.944,0.0
27,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,49.0,337.32,9.84,0.0,0.0,0.0,0.0,5179.4,1.0,0.0,1157.587,0.0
29,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,49.0,337.32,12.4,0.0,0.0,0.0,0.0,6047.4,1.0,0.0,1351.583,0.0
31,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,53.0,337.32,9.84,0.0,0.0,0.0,0.0,5289.1,3.0,0.0,1182.104,0.0
32,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,5.0,1.0,2.0,100.0,53.0,337.32,9.84,0.0,0.0,0.0,0.0,3262.25,2.0,0.0,729.107,0.0
34,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,57.0,337.32,39.36,0.0,0.0,0.0,0.0,6067.95,3.0,0.0,1356.175,0.0
36,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,57.0,337.32,39.36,0.0,0.0,0.0,0.0,6088.05,4.0,0.0,1360.668,0.0
38,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,61.0,337.32,39.36,0.0,0.0,0.0,0.0,6088.05,7.0,0.0,1360.668,0.0
39,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,65.0,337.32,19.68,0.0,0.0,0.0,0.0,2862.35,3.0,0.0,639.73,0.0
42,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,65.0,337.32,9.84,0.0,0.0,0.0,0.0,4782.3,2.0,0.0,1068.835,0.0
43,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,100.0,65.0,337.32,9.84,0.0,0.0,0.0,0.0,6088.05,2.0,0.0,1360.668,0.0
46,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,2.0,100.0,69.0,337.32,4.92,0.0,0.0,0.0,0.0,1147.0,1.0,0.0,256.352,0.0
47,1.0,1.0,1.0,3.0,6.0,1.0,1.0,6.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,1.0,1.0,100.0,69.0,337.32,9.84,0.0,0.0,0.0,0.0,6088.05,3.0,0.0,1360.668,0.0
